PreferenceID,Age,Gender,Education,Caste,Profession,Residence,Religion,Height_cm,Extras,userID
P155,38,Male,LLB,Swarnakar,Advocate,urban,Muslim,152,,155
P156,30,Female,B.Tech,Kayastha,College lecturer,rural,Others,132,,156
P157,34,Male,LLB,Kayastha,Bank,rural,Hindu,152,,157
P158,27,Female,MSC B.Ed,Brahmin,Advocate,rural,Hindu,152,,158
P159,22,Female,MA,Brahmin,IT,urban,Muslim,162,,159
P160,24,Female,MA B.Ed,OBC,Pharma Co B'loe,rural,Others,132,,160
P161,27,Female,BA,Tili,MNC-IT,urban,Hindu,157,,161
P162,29,Male,MA,OBC,IT,urban,Muslim,152,,162
P163,39,Female,MBA,Brahmin,Business,rural,Hindu,162,,163
P164,28,Female,B.Tech,General,MNC-IT,urban,Hindu,152,,164
P165,29,Male,BSc,Kayastha,MNC-IT,urban,Hindu,157,,165
P166,32,Female,MBA,Kayastha,Business,rural,Muslim,162,,166
P167,23,Female,BA,OBC,Business,urban,Hindu,157,,167
P168,30,Female,LLM,Swarnakar,Business,rural,Christian,152,,168
P169,31,Female,MA B.Ed,Brahmin,20LPA,rural,Hindu,157,,169
P170,21,Male,MA,OBC,Digital Marketting B'lore,urban,Others,157,,170
P171,28,Female,B.Tech,Kayastha,15LPA,urban,Muslim,154,,171
P172,26,Female,MA B.Ed,Ganguly,Advocate,rural,Others,157,,172
P173,18,Female,MSC B.Ed,Brahmin,20LPA,urban,Hindu,157,,173
P174,39,Female,B.Tech,Kayastha,IT,urban,Hindu,152,,174
P175,36,Female,BA,General,Advocate,rural,Muslim,157,,175
P176,18,Male,B.Tech,General,Law Firm,rural,Muslim,157,,176
P177,36,Female,B.Tech,SC,Business,rural,Muslim,152,,177
P178,27,Female,MBA,SC,Advocate,rural,Hindu,132,,178
P179,35,Female,B.Tech,Brahmin,IT,rural,Hindu,157,,179
P180,19,Male,BA,Kayastha,IT,urban,Hindu,157,,180
P181,30,Male,MA B.Ed,General,IT,rural,Hindu,162,,181
P182,25,Female,BA,Brahmin,12LPA,rural,Christian,162,,182
P183,25,Female,BA,Baisya,Business,urban,Hindu,132,,183
P184,30,Female,MA B.Ed,Kayastha,Business,urban,Hindu,157,,184
P185,31,Male,B.Tech MBA,Kayastha,Business,rural,Sikh,157,,185
P186,27,Female,B.Tech,Baisya,MNC-IT,rural,Hindu,152,,186
P187,25,Female,B.Tech,Kayastha,Bank,urban,Christian,154,,187
P188,37,Male,PhD,OBC,Digital Marketting B'lore,rural,Muslim,162,,188
P189,35,Male,MBA,Chatterjee,Advocate,rural,Hindu,152,,189
P190,39,Female,B.Tech MBA,Brahmin,Researcg-Scholar-germany,rural,Hindu,154,,190
P191,26,Female,BA,Kayastha,MNC-IT,urban,Hindu,157,,191
P192,29,Female,MA,Kayastha,Bank,urban,Hindu,154,,192
P193,29,Female,MA,Kayastha,12LPA,urban,Hindu,157,,193
P194,25,Female,MA,Ganguly,20LPA,rural,Hindu,162,,194
P195,27,Female,MSC B.Ed,Baisya,MNC-IT,urban,Hindu,132,,195
P196,22,Male,MSC B.Ed,Kayastha,Hospital Nurse,urban,Hindu,154,,196
P197,31,Male,LLM,General,Hospital Nurse,rural,Hindu,162,,197
P198,26,Female,MA,Roy,Bank,urban,Muslim,162,,198
P199,31,Male,MBA,Brahmin,Bank,urban,Hindu,152,,199
P200,25,Male,BA,Brahmin,IT,rural,Hindu,152,,200
P201,36,Male,PhD,Kayastha,Bank,urban,Hindu,152,,201
P202,36,Female,MBA,Brahmin,MNC-IT,urban,Hindu,152,,202
P203,30,Male,MBA,OBC,12LPA,urban,Hindu,132,,203
P204,22,Male,MSC B.Ed,OBC,Pharma Co B'loe,rural,Hindu,162,,204
P205,30,Female,MBA,Kayastha,IT,urban,Others,152,,205
P206,34,Female,MA,Brahmin,MNC-IT,urban,Christian,154,,206
P207,18,Male,BA,Kayastha,Business,urban,Hindu,154,,207
P208,22,Female,B.Tech,Brahmin,MNC-IT,urban,Christian,154,,208
P209,20,Female,B.Tech MBA,OBC,Business,rural,Hindu,132,,209
P210,39,Female,B.Tech,Kayastha,12LPA,urban,Muslim,152,,210
P211,30,Male,MSC B.Ed,OBC,MNC-IT,rural,Hindu,132,,211
P212,28,Male,LLB,Kayastha,IT,rural,Christian,154,,212
P213,27,Male,MBA,SC,MNC-IT,rural,Hindu,162,,213
P214,31,Female,MSC B.Ed,SC,Business,rural,Hindu,157,,214
P215,35,Female,B.Tech,Kayastha,Advocate,urban,Hindu,152,,215
P216,18,Male,MA,Brahmin,20LPA,urban,Muslim,162,,216
P217,33,Male,MSC B.Ed,Brahmin,Hospital Nurse,urban,Christian,154,,217
P218,33,Male,MBA,Brahmin,MNC-IT,rural,Hindu,132,,218
P219,23,Male,B.Tech,Brahmin,MNC-IT,rural,Hindu,157,,219
P220,31,Female,MBA,Brahmin,MNC-IT,rural,Hindu,162,,220
P221,19,Male,LLB,Kayastha,Business,urban,Hindu,157,,221
P222,23,Male,B.Tech,Brahmin,MNC-IT,urban,Muslim,154,,222
P223,32,Male,B.Tech MBA,Brahmin,Business,urban,Christian,152,,223
P224,31,Male,B.Tech,Baisya,IT,urban,Others,152,,224
P225,28,Female,BA,Kayastha,IT,urban,Hindu,132,,225
P226,28,Male,BSc,Kayastha,Advocate,urban,Others,154,,226
P227,19,Female,BA,Sunni,Business,rural,Christian,162,,227
P228,34,Male,PhD,General,Advocate,urban,Hindu,154,,228
P229,20,Male,B.Tech,Sunni,IT,rural,Muslim,157,,229
P230,35,Female,B.Tech MBA,Kayastha,MNC-IT,rural,Muslim,154,,230
P231,22,Female,MA B.Ed,Barujibi,12LPA,rural,Hindu,157,,231
P232,18,Female,MBA,SC,IT,urban,Muslim,132,,232
P233,28,Male,B.Tech MBA,Kayastha,Hospital Nurse,urban,Muslim,132,,233
P234,31,Female,BA,Banerjee,Business,rural,Others,152,,234
P235,39,Male,BSc,Kayastha,IT,rural,Hindu,162,,235
P236,22,Female,BA,Baisya,Pharma Co B'loe,rural,Hindu,132,,236
P237,28,Female,MA,Kayastha,IT,rural,Hindu,132,,237
P238,33,Male,MA,Kayastha,Researcg-Scholar-germany,rural,Hindu,154,,238
P239,19,Male,BA,General,20LPA,rural,Hindu,162,,239
P240,37,Female,MA,General,Business,urban,Hindu,132,,240
P241,22,Female,MBA,SC,IT,urban,Christian,154,,241
P242,28,Female,MSC B.Ed,Brahmin,Hospital Nurse,rural,Christian,152,,242
P243,35,Female,BA,SC,Digital Marketting B'lore,rural,Hindu,132,,243
P244,38,Female,B.Tech MBA,Brahmin,Business,rural,Hindu,132,,244
P245,30,Male,B.Tech,Baisya,Hospital Nurse,rural,Hindu,154,,245
P246,30,Male,B.Tech,Brahmin,Hospital Nurse,urban,Hindu,157,,246
P247,28,Male,PhD,Sunni,Bank,rural,Muslim,157,,247
P248,28,Female,BA,SC,MNC-IT,urban,Hindu,162,,248
P249,28,Female,MA,Brahmin,Bank,rural,Others,162,,249
P250,19,Male,MSC B.Ed,Kayastha,MNC-IT,rural,Others,152,,250
P251,23,Female,Bcom,Brahmin,MNC-IT,rural,Others,162,,251
P252,22,Male,BA,Sunni,College lecturer,urban,Hindu,162,,252
P253,39,Female,MA,Brahmin,15LPA,urban,Hindu,132,,253
P254,27,Male,Bcom,Kayastha,IT,urban,Hindu,132,,254
P255,35,Female,MSC B.Ed,Kayastha,MNC-IT,urban,Hindu,132,,255
P256,26,Female,MA B.Ed,Kayastha,Business,rural,Hindu,157,,256
P257,18,Male,MSC B.Ed,SC,Business,rural,Muslim,162,,257
P258,23,Female,B.Tech MBA,General,Business,urban,Hindu,152,,258
P259,28,Female,MBA,Biswas,IT,urban,Christian,154,,259
P260,18,Female,PhD,Brahmin,Law Firm,urban,Hindu,152,,260
P261,29,Female,B.Tech,Kayastha,MNC-IT,urban,Hindu,132,,261
P262,33,Female,BSc,Banerjee,15LPA,rural,Muslim,132,,262
P263,32,Female,PhD,Kayastha,College lecturer,urban,Hindu,162,,263
P264,31,Female,B.Tech,Baisya,Business,urban,Christian,152,,264
P265,29,Male,MSC B.Ed,Brahmin,Business,rural,Hindu,152,,265
P266,26,Male,BA,Kayastha,College lecturer,rural,Hindu,152,,266
P267,18,Female,MSC B.Ed,SC,Advocate,rural,Hindu,132,,267
P268,36,Male,MSC B.Ed,Brahmin,Hospital Nurse,rural,Hindu,132,,268
P269,30,Male,MSC B.Ed,OBC,IT,rural,Christian,152,,269
P270,22,Male,B.Tech,Sunni,Bank,urban,Hindu,154,,270
P271,28,Female,BSc,Tambuli,IT,rural,Christian,132,,271
P272,29,Male,LLM,Brahmin,Business,rural,Hindu,152,,272
P273,25,Female,PhD,Brahmin,Law Firm,rural,Muslim,154,,273
P274,29,Male,MA,Brahmin,Researcg-Scholar-germany,urban,Hindu,154,,274
P275,33,Male,MA,Kayastha,15LPA,urban,Muslim,154,,275
P276,24,Female,MA,SC,Pharma Co B'loe,rural,Hindu,162,,276
P277,21,Male,MA,Chatterjee,Advocate,rural,Others,157,,277
P278,25,Male,B.Tech,Brahmin,Business,urban,Hindu,132,,278
P279,32,Female,BA,Kayastha,MNC-IT,rural,Muslim,132,,279
P280,35,Male,B.Tech,Sunni,MNC-IT,rural,Muslim,132,,280
P281,36,Male,B.Tech,Kayastha,IT,rural,Hindu,152,,281
P282,21,Female,MA B.Ed,Tili,IT,rural,Hindu,157,,282
P283,37,Female,MSC B.Ed,Kayastha,Law Firm,urban,Hindu,152,,283
P284,26,Female,BA,Kayastha,12LPA,urban,Hindu,154,,284
P285,26,Female,MBA,OBC,Law Firm,rural,Hindu,157,,285
P286,39,Female,B.Tech,Baisya,Bank,rural,Christian,157,,286
P287,25,Female,B.Tech MBA,Tili,MNC-IT,rural,Muslim,132,,287
P288,31,Male,MBA,OBC,Researcg-Scholar-germany,rural,Hindu,132,,288
P289,22,Male,MA B.Ed,General,Business,rural,Hindu,157,,289
P290,25,Male,Bcom,Swarnakar,Bank,rural,Others,154,,290
P291,20,Female,BA,Kayastha,Researcg-Scholar-germany,rural,Hindu,162,,291
P292,34,Female,BA,Kayastha,Law Firm,rural,Sikh,162,,292
P293,30,Male,MA B.Ed,Kayastha,College lecturer,rural,Muslim,154,,293
P294,20,Female,MSC B.Ed,Brahmin,Bank,urban,Christian,154,,294
P295,36,Male,BA,SC,MNC-IT,urban,Muslim,157,,295
P296,27,Male,BSc,Brahmin,Business,rural,Muslim,152,,296
P297,27,Female,B.Tech,Baisya,IT,urban,Sikh,162,,297
P298,29,Female,BA,OBC,IT,urban,Hindu,132,,298
P299,25,Male,B.Tech,Brahmin,IT,urban,Hindu,157,,299
P300,34,Female,MSC B.Ed,Kayastha,Hospital Nurse,rural,Muslim,132,,300
P301,30,Female,MA,OBC,College lecturer,rural,Hindu,152,,301
P302,26,Male,MBA,Brahmin,Business,rural,Hindu,154,,302
P303,30,Male,MBA,Tili,20LPA,urban,Sikh,132,,303
P304,33,Male,MSC B.Ed,SC,Bank,rural,Christian,132,,304
P305,32,Male,MSC B.Ed,Brahmin,IT,rural,Hindu,157,,305
P306,21,Female,MA,Brahmin,MNC-IT,urban,Hindu,132,,306
P307,26,Female,MBA,Kayastha,Business,rural,Hindu,157,,307
P308,31,Female,MSC B.Ed,Kayastha,MNC-IT,urban,Others,132,,308
P309,18,Female,MSC B.Ed,OBC,MNC-IT,rural,Hindu,132,,309
P310,30,Female,MSC B.Ed,Kayastha,Bank,urban,Hindu,154,,310
P311,21,Male,BA B.Ed,Brahmin,MNC-IT,rural,Others,132,,311
P312,35,Female,MSC B.Ed,Kayastha,MNC-IT,urban,Others,152,,312
P313,28,Male,MA,General,15LPA,urban,Hindu,152,,313
P314,30,Female,MSC B.Ed,Kayastha,Bank,rural,Hindu,157,,314
P315,22,Male,MA,SC,IT,rural,Christian,162,,315
P316,32,Female,B.Tech,Brahmin,12LPA,urban,Hindu,152,,316
P317,26,Female,BSc,SC,Digital Marketting B'lore,urban,Hindu,162,,317
P318,34,Male,MA,Brahmin,Researcg-Scholar-germany,rural,Christian,152,,318
P319,27,Male,B.Tech MBA,Kayastha,Business,urban,Muslim,154,,319
P320,29,Male,MBA,Kayastha,15LPA,rural,Christian,162,,320
P321,38,Female,BSc,Brahmin,Researcg-Scholar-germany,urban,Hindu,162,,321
P322,36,Female,MBA,Swarnakar,Business,urban,Christian,152,,322
P323,34,Female,MA B.Ed,OBC,College lecturer,urban,Hindu,162,,323
P324,30,Male,B.Tech,Kayastha,IT,rural,Hindu,157,,324
P325,31,Male,BA,Swarnakar,MNC-IT,rural,Hindu,152,,325
P326,38,Female,MA B.Ed,Brahmin,IT,rural,Hindu,132,,326
P327,19,Male,MSC B.Ed,Brahmin,MNC-IT,rural,Hindu,154,,327
P328,29,Male,MSC B.Ed,SC,IT,urban,Others,152,,328
P329,39,Female,MA,Sunni,MNC-IT,rural,Hindu,162,,329
P330,35,Male,MSC B.Ed,Kayastha,15LPA,urban,Muslim,157,,330
P331,34,Female,B.Tech,General,Bank,rural,Muslim,152,,331
P332,33,Female,BSc,Brahmin,Business,rural,Muslim,157,,332
P333,22,Male,BA,SC,15LPA,urban,Hindu,162,,333
P334,23,Male,MSC B.Ed,Kayastha,Advocate,rural,Hindu,157,,334
P335,23,Male,MBA,OBC,Researcg-Scholar-germany,urban,Sikh,152,,335
P336,33,Female,MBA,General,MNC-IT,rural,Christian,157,,336
P337,22,Male,MA B.Ed,Brahmin,MNC-IT,urban,Hindu,154,,337
P338,18,Female,MBA,Baisya,Business,rural,Hindu,154,,338
P339,32,Male,MSC B.Ed,Sunni,Researcg-Scholar-germany,urban,Muslim,152,,339
P340,25,Male,B.Tech,General,15LPA,rural,Hindu,154,,340
P341,18,Female,LLB,SC,Researcg-Scholar-germany,rural,Christian,154,,341
P342,26,Male,BSc,OBC,Digital Marketting B'lore,rural,Hindu,157,,342
P343,35,Male,MA,Brahmin,College lecturer,urban,Others,157,,343
P344,28,Female,MA,OBC,Bank,rural,Muslim,157,,344
P345,21,Female,MA,Brahmin,Business,urban,Hindu,154,,345
P346,21,Male,MSC B.Ed,Brahmin,IT,rural,Others,132,,346
P347,20,Female,BSc,General,Digital Marketting B'lore,rural,Christian,162,,347
P348,35,Female,MA B.Ed,Swarnakar,Law Firm,rural,Muslim,157,,348
P349,36,Female,BA B.Ed,Kayastha,Hospital Nurse,urban,Muslim,152,,349
P350,32,Male,BA,Kayastha,Digital Marketting B'lore,rural,Muslim,157,,350
P351,22,Female,BA,Tili,MNC-IT,urban,Hindu,132,,351
P352,29,Female,B.Tech,Brahmin,Business,urban,Hindu,152,,352
P353,26,Female,MBA,Kayastha,MNC-IT,urban,Christian,154,,353
P354,34,Male,MBA,Baisya,Business,rural,Hindu,152,,354
P355,27,Male,B.Tech,Sunni,Business,rural,Hindu,157,,355
P356,28,Male,MBA,Kayastha,Researcg-Scholar-germany,urban,Muslim,162,,356
P357,35,Female,MBA,Bhattacharya,Pharma Co B'loe,rural,Hindu,152,,357
P358,22,Female,PhD,Kayastha,Digital Marketting B'lore,rural,Hindu,157,,358
P359,36,Female,MBA,OBC,IT,rural,Hindu,154,,359
P360,25,Male,MSC B.Ed,OBC,MNC-IT,rural,Hindu,152,,360
P361,20,Female,MA B.Ed,Kayastha,MNC-IT,urban,Muslim,152,,361
P362,24,Male,B.Tech MBA,General,12LPA,rural,Hindu,132,,362
P363,24,Female,PhD,Brahmin,MNC-IT,urban,Hindu,132,,363
P364,35,Male,MSC B.Ed,OBC,Business,rural,Hindu,132,,364
P365,28,Male,B.Tech MBA,SC,Business,urban,Hindu,132,,365
P366,23,Female,MBA,Sunni,IT,urban,Others,157,,366
P367,33,Female,BA,Kayastha,MNC-IT,urban,Hindu,152,,367
P368,31,Female,MBA,Kayastha,IT,rural,Muslim,132,,368
P369,22,Female,MBA,Brahmin,MNC-IT,urban,Hindu,152,,369
P370,27,Male,MBA,Brahmin,Digital Marketting B'lore,urban,Hindu,154,,370
P371,19,Male,MSC B.Ed,Baisya,MNC-IT,urban,Sikh,152,,371
P372,37,Male,MA,Brahmin,MNC-IT,rural,Hindu,154,,372
P373,27,Female,BSc,SC,Advocate,urban,Hindu,152,,373
P374,21,Female,MBA,SC,MNC-IT,rural,Muslim,152,,374
P375,35,Female,MA B.Ed,Baisya,Business,rural,Muslim,162,,375
P376,25,Male,MA,Brahmin,Business,rural,Muslim,162,,376
P377,32,Male,BSc,OBC,IT,rural,Hindu,132,,377
P378,36,Male,LLB,Sunni,IT,urban,Muslim,154,,378
P379,24,Male,BA,Kayastha,Business,urban,Hindu,157,,379
