UserID,Age,Gender,Education,Caste,Profession,Religion,Residence,Height_cm,Extras
42,35,Female,BA,Kayastha,Bank,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
43,37,Male,MA,Brahmin,Business,Others,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
44,32,Male,MSC B.Ed,Sunni,IT,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
45,37,Female,MA B.Ed,Kayastha,IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
46,39,Male,BA,Brahmin,Business,Christian,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
47,20,Female,B.Tech MBA,OBC,IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
48,23,Male,PhD,Kayastha,IT,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
49,20,Male,MA,Baisya,Advocate,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
50,19,Male,MA B.Ed,Brahmin,IT,Others,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
51,30,Male,MBA,Kayastha,12LPA,Muslim,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
52,28,Female,MA B.Ed,Brahmin,MNC-IT,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
53,25,Female,BA,General,15LPA,Others,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
54,31,Female,MBA,Brahmin,20LPA,Others,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
55,28,Female,BA,OBC,Advocate,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
56,33,Male,BA,Kayastha,Business,Christian,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
57,27,Female,BSc,Kayastha,IT,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
58,24,Male,MA B.Ed,Kayastha,MNC-IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
59,18,Female,BSc,Brahmin,Business,Others,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
60,22,Male,MA B.Ed,SC,Business,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
61,24,Female,BA,Brahmin,IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
62,36,Male,B.Tech,OBC,Business,Sikh,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
63,28,Female,MSC B.Ed,Sunni,Law Firm,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
64,24,Male,B.Tech,Kayastha,Business,Sikh,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
65,37,Male,BA,SC,Business,Muslim,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
66,22,Female,MBA,Chatterjee,Business,Sikh,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
67,24,Female,B.Tech,Kayastha,MNC-IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
68,36,Male,BSc,Kayastha,Business,Muslim,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
69,36,Female,BA,General,Researcg-Scholar-germany,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
70,28,Male,MBA,Brahmin,Digital Marketting B'lore,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
71,38,Female,MA,Kayastha,Pharma Co B'loe,Muslim,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
72,22,Female,MA B.Ed,Tili,Advocate,Christian,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
73,23,Male,MBA,General,IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
74,32,Female,MSC B.Ed,OBC,Bank,Christian,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
75,21,Female,BA,Swarnakar,IT,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
76,25,Male,B.Tech,Brahmin,IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
77,26,Female,MA,Brahmin,Law Firm,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
78,24,Female,BSc,SC,20LPA,Others,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
79,32,Male,B.Tech,Brahmin,MNC-IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
80,23,Male,BA B.Ed,OBC,MNC-IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
81,35,Female,LLB,Brahmin,Business,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
82,28,Female,B.Tech MBA,Brahmin,IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
83,31,Female,MA B.Ed,Brahmin,15LPA,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
84,26,Male,MA,OBC,IT,Christian,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
85,34,Male,B.Tech MBA,Brahmin,IT,Sikh,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
86,32,Female,MBA,General,Hospital Nurse,Sikh,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
87,22,Female,BA,Kayastha,IT,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
88,34,Female,BA,Sunni,IT,Muslim,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
89,33,Female,BSc,Kayastha,IT,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
90,28,Male,BSc,Brahmin,IT,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
91,26,Male,BA B.Ed,SC,Bank,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
92,39,Male,MSC B.Ed,Kayastha,Advocate,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
93,19,Female,PhD,Kayastha,Business,Christian,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
94,29,Female,LLM,OBC,MNC-IT,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
95,19,Female,MSC B.Ed,Brahmin,MNC-IT,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
96,18,Female,BA,Brahmin,IT,Others,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
97,38,Female,MBA,OBC,Business,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
98,38,Female,B.Tech,Brahmin,Business,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
99,39,Male,MBA,Kayastha,Advocate,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
100,22,Female,MA,General,Researcg-Scholar-germany,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
101,21,Female,B.Tech,General,MNC-IT,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
102,37,Male,MBA,SC,IT,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
103,18,Male,LLM,Swarnakar,Bank,Others,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
104,19,Female,MA B.Ed,General,Advocate,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
105,21,Female,MA B.Ed,Kayastha,20LPA,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
106,28,Female,MA,Tambuli,IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
107,26,Male,MA,OBC,MNC-IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
108,33,Male,B.Tech,Swarnakar,MNC-IT,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
109,27,Female,MA,Brahmin,20LPA,Christian,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
110,37,Male,MA,Brahmin,IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
111,33,Female,LLB,SC,MNC-IT,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
112,30,Female,MA B.Ed,SC,Bank,Christian,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
113,19,Female,B.Tech,SC,Digital Marketting B'lore,Muslim,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
114,31,Female,BA,SC,Hospital Nurse,Muslim,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
115,22,Female,MSC B.Ed,Brahmin,20LPA,Muslim,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
116,26,Female,MBA,Kayastha,Pharma Co B'loe,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
117,32,Male,LLM,Kayastha,15LPA,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
118,19,Male,MA B.Ed,General,Business,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
119,25,Male,PhD,OBC,Bank,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
120,38,Female,MBA,Kayastha,MNC-IT,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
121,37,Female,BSc,Baisya,College lecturer,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
122,21,Male,BA,OBC,College lecturer,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
123,20,Female,PhD,Swarnakar,MNC-IT,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
124,36,Male,BA,Brahmin,MNC-IT,Muslim,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
125,20,Male,MBA,General,College lecturer,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
126,39,Female,BA,SC,12LPA,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
127,29,Male,BA,Kayastha,MNC-IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
128,22,Female,MA B.Ed,Baisya,Advocate,Christian,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
129,22,Female,LLB,Kayastha,Business,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
130,22,Female,BA,Kayastha,15LPA,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
131,29,Male,MBA,Brahmin,IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
132,29,Female,PhD,General,Bank,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
133,30,Male,BA,Kayastha,Hospital Nurse,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
134,28,Male,MA,Kayastha,15LPA,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
135,38,Female,MSC B.Ed,SC,MNC-IT,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
136,22,Female,BA,General,12LPA,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
137,23,Female,B.Tech,SC,Pharma Co B'loe,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
138,38,Male,Bcom,Kayastha,20LPA,Muslim,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
139,23,Male,MA,Kayastha,MNC-IT,Others,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
140,29,Male,MSC B.Ed,Brahmin,IT,Christian,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
141,24,Male,BA,Kayastha,20LPA,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
142,27,Female,MA,OBC,MNC-IT,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
143,28,Male,B.Tech,General,IT,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
144,37,Male,BSc,SC,MNC-IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
145,38,Male,MA,OBC,Bank,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
146,19,Male,MA,Kayastha,Law Firm,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
147,33,Female,MBA,Brahmin,Business,Sikh,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
148,19,Male,BSc,Kayastha,Digital Marketting B'lore,Others,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
149,24,Female,B.Tech,Sunni,20LPA,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
150,19,Male,MA B.Ed,Swarnakar,IT,Christian,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
151,18,Female,B.Tech,Kayastha,MNC-IT,Others,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
152,22,Male,B.Tech,Tili,IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
153,23,Male,MBA,Brahmin,20LPA,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
154,18,Female,B.Tech MBA,Brahmin,IT,Others,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
155,38,Female,MA,Swarnakar,Business,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
156,32,Male,MSC B.Ed,Kayastha,MNC-IT,Others,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
157,28,Female,B.Tech,Kayastha,College lecturer,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
158,24,Male,B.Tech MBA,Brahmin,Bank,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
159,32,Male,MA,Brahmin,MNC-IT,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
160,32,Male,LLM,OBC,College lecturer,Others,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
161,20,Male,MBA,Kayastha,MNC-IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
162,26,Female,B.Tech,SC,Law Firm,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
163,26,Male,BA,Brahmin,Business,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
164,38,Male,MA B.Ed,Kayastha,MNC-IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
165,23,Female,LLB,SC,Business,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
166,39,Male,BSc,Kayastha,MNC-IT,Muslim,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
167,39,Male,MA B.Ed,OBC,IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
168,19,Male,MA,Swarnakar,IT,Christian,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
169,22,Male,MSC B.Ed,Brahmin,Researcg-Scholar-germany,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
170,20,Female,MA,OBC,Bank,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
171,38,Male,BA,Kayastha,12LPA,Muslim,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
172,33,Male,MBA,SC,College lecturer,Others,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
173,22,Male,BSc,Brahmin,IT,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
174,27,Male,B.Tech,Kayastha,MNC-IT,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
175,22,Male,Bcom,General,Researcg-Scholar-germany,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
176,20,Female,MA,General,Business,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
177,19,Male,BA B.Ed,SC,Researcg-Scholar-germany,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
178,28,Male,MA,Brahmin,MNC-IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
179,18,Male,MA B.Ed,Brahmin,15LPA,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
180,34,Female,B.Tech,OBC,Digital Marketting B'lore,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
181,31,Female,MSC B.Ed,General,College lecturer,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
182,36,Male,MA B.Ed,Brahmin,Advocate,Christian,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
183,29,Male,MA,Baisya,Hospital Nurse,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
184,38,Male,BSc,Kayastha,Researcg-Scholar-germany,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
185,26,Female,MA B.Ed,Kayastha,15LPA,Sikh,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
186,36,Male,B.Tech,Baisya,Bank,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
187,36,Male,B.Tech,Kayastha,College lecturer,Christian,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
188,22,Female,B.Tech,OBC,Bank,Muslim,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
189,37,Female,LLB,Chatterjee,Hospital Nurse,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
190,31,Male,PhD,Brahmin,15LPA,Muslim,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
191,19,Male,B.Tech MBA,Kayastha,IT,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
192,24,Male,B.Tech,Kayastha,20LPA,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
193,24,Male,BA,Kayastha,Business,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
194,30,Male,MSC B.Ed,Baisya,IT,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
195,22,Male,MSC B.Ed,Baisya,Pharma Co B'loe,Hindu,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}"
196,35,Female,BA,Kayastha,IT,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}"
197,22,Female,BA,General,College lecturer,Hindu,urban,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}"
198,39,Male,MA,OBC,College lecturer,Muslim,urban,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}"
