UserID,Age,Genedr,Education,Caste,Profession,Religion,residence,Height_cm,Extras,PreferenceID
U026,36,Male,MA,SC,Business,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P026
U027,31,Male,MSC B.Ed,Baisya,IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P027
U028,34,Female,BA,Brahmin,Law Firm,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P028
U029,27,Male,MA B.Ed,Baisya,Hospital Nurse,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P029
U030,34,Female,B.Tech MBA,SC,Pharma Co B'loe,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P030
U031,29,Male,LLB,Kayastha,Hospital Nurse,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P031
U032,35,Male,MBA,Kayastha,College lecturer,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P032
U033,21,Female,LLM,General,Researcg-Scholar-germany,Christian,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P033
U034,21,Female,BA,General,Law Firm,Christian,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P034
U035,22,Male,B.Tech,OBC,IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P035
U036,23,Male,Bcom,Brahmin,Business,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P036
U037,31,Female,MA,Sadgop,Business,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P037
U038,28,Female,MA B.Ed,Kayastha,Law Firm,Muslim,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P038
U039,30,Female,BA B.Ed,OBC,MNC-IT,Muslim,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P039
U040,23,Female,MA B.Ed,Biswas,MNC-IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P040
U041,34,Male,BSc,Kayastha,IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P041
U042,35,Female,MBA,General,Hospital Nurse,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P042
U043,37,Male,LLM,OBC,Law Firm,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P043
U044,32,Male,MBA,Kayastha,Law Firm,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P044
U045,37,Female,B.Tech,Brahmin,IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P045
U046,39,Male,B.Tech,Kayastha,15LPA,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P046
U047,20,Female,MBA,General,MNC-IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P047
U048,23,Male,B.Tech,General,IT,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P048
U049,20,Male,MSC B.Ed,SC,IT,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P049
U050,19,Male,MSC B.Ed,Baisya,Business,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P050
U051,30,Male,BA B.Ed,Brahmin,Law Firm,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P051
U052,28,Female,B.Tech MBA,Brahmin,Business,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P052
U053,25,Female,BSc,General,Hospital Nurse,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P053
U054,31,Female,BA B.Ed,Brahmin,MNC-IT,Muslim,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P054
U055,28,Female,B.Tech MBA,Kayastha,Advocate,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P055
U056,33,Male,MBA,General,College lecturer,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P056
U057,27,Female,B.Tech MBA,Sunni,Business,Muslim,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P057
U058,24,Male,MBA,Brahmin,IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P058
U059,18,Female,MBA,Brahmin,15LPA,Sikh,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P059
U060,22,Male,MSC B.Ed,Kayastha,MNC-IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P060
U061,24,Female,BA,Swarnakar,MNC-IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P061
U062,36,Male,MA B.Ed,Kayastha,Law Firm,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P062
U063,28,Female,BSc,Sunni,Business,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P063
U064,24,Male,MSC B.Ed,Kayastha,20LPA,Christian,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P064
U065,37,Male,BA,Kayastha,College lecturer,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P065
U066,22,Female,BA,OBC,MNC-IT,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P066
U067,24,Female,MA,Kayastha,IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P067
U068,36,Male,B.Tech,Sunni,IT,Muslim,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P068
U069,36,Female,BA B.Ed,Brahmin,College lecturer,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P069
U070,28,Male,MA,Brahmin,MNC-IT,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P070
U071,38,Female,BA,SC,15LPA,Christian,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P071
U072,22,Female,MA B.Ed,General,IT,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P072
U073,23,Male,BSc,General,IT,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P073
U074,32,Female,B.Tech MBA,Banerjee,Business,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P074
U075,21,Female,MA,Mukherjee,MNC-IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P075
U076,25,Male,PhD,Brahmin,15LPA,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P076
U077,26,Female,MBA,Kayastha,IT,Sikh,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P077
U078,24,Female,B.Tech,Kayastha,Hospital Nurse,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P078
U079,32,Male,MA B.Ed,Baisya,Pharma Co B'loe,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P079
U080,23,Male,MBA,Kayastha,IT,Christian,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P080
U081,35,Female,MA,Brahmin,Business,Others,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P081
U082,28,Female,BSc,Kayastha,Bank,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P082
U083,31,Female,MA,Brahmin,College lecturer,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P083
U084,26,Male,B.Tech,Baisya,Business,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P084
U085,34,Male,MA,Swarnakar,Bank,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P085
U086,32,Female,B.Tech,General,Bank,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P086
U087,22,Female,MA,Kayastha,Bank,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P087
U088,34,Female,B.Tech,OBC,12LPA,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P088
U089,33,Female,LLB,OBC,MNC-IT,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P089
U090,28,Male,MA B.Ed,Brahmin,MNC-IT,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P090
U091,26,Male,B.Tech MBA,General,Business,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P091
U092,39,Male,B.Tech,Kayastha,Bank,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P092
U093,19,Female,B.Tech,Baisya,Bank,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P093
U094,29,Female,B.Tech MBA,General,Business,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P094
U095,19,Female,MBA,General,Bank,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P095
U096,18,Female,MBA,Kayastha,Pharma Co B'loe,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P096
U097,38,Female,MA,Kayastha,Business,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P097
U098,38,Female,MA,Sadgop,12LPA,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P098
U099,39,Male,Bcom,Kayastha,Pharma Co B'loe,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P099
U100,22,Female,MSC B.Ed,Tili,Bank,Muslim,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P100
U101,21,Female,BA,Baisya,IT,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P101
U102,37,Male,MSC B.Ed,Brahmin,Hospital Nurse,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P102
U103,18,Male,BA,Brahmin,Digital Marketting B'lore,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P103
U104,19,Female,MBA,Brahmin,MNC-IT,Others,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P104
U105,21,Female,MA B.Ed,SC,Business,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P105
U106,28,Female,B.Tech,General,MNC-IT,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P106
U107,26,Male,B.Tech,OBC,Digital Marketting B'lore,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P107
U108,33,Male,MA B.Ed,Brahmin,Business,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P108
U109,27,Female,MA B.Ed,Brahmin,Bank,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P109
U110,37,Male,MBA,Dutta,MNC-IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P110
U111,33,Female,MA,Baisya,IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P111
U112,30,Female,MBA,SC,12LPA,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P112
U113,19,Female,MSC B.Ed,Kayastha,Business,Sikh,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P113
U114,31,Female,B.Tech,Brahmin,Business,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P114
U115,22,Female,PhD,OBC,MNC-IT,Muslim,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P115
U116,26,Female,MA B.Ed,Baisya,MNC-IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P116
U117,32,Male,MBA,Brahmin,Hospital Nurse,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P117
U118,19,Male,B.Tech,Brahmin,MNC-IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P118
U119,25,Male,B.Tech,Baisya,20LPA,Others,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P119
U120,38,Female,BA,Sunni,Business,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P120
U121,37,Female,B.Tech MBA,SC,IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P121
U122,21,Male,MA,OBC,MNC-IT,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P122
U123,20,Female,MSC B.Ed,Kayastha,Business,Christian,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P123
U124,36,Male,B.Tech,Baisya,Advocate,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P124
U125,20,Male,MA,General,IT,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P125
U126,39,Female,PhD,SC,MNC-IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P126
U127,29,Male,MA B.Ed,Brahmin,MNC-IT,Christian,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P127
U128,22,Female,PhD,Brahmin,IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P128
U129,22,Female,MBA,Sunni,20LPA,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P129
U130,22,Female,MBA,Baisya,IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P130
U131,29,Male,MBA,SC,Researcg-Scholar-germany,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P131
U132,29,Female,BA,Kayastha,Business,Christian,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P132
U133,30,Male,B.Tech,General,Business,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P133
U134,28,Male,BA,General,Hospital Nurse,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P134
U135,38,Female,LLM,SC,MNC-IT,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P135
U136,22,Female,MA,Kayastha,Business,Muslim,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P136
U137,23,Female,B.Tech MBA,Kayastha,15LPA,Christian,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P137
U138,38,Male,LLB,Brahmin,MNC-IT,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P138
U139,23,Male,MSC B.Ed,Kayastha,Business,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P139
U140,29,Male,MSC B.Ed,Brahmin,Pharma Co B'loe,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P140
U141,24,Male,MSC B.Ed,Kayastha,15LPA,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P141
U142,27,Female,BSc,Kayastha,Business,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P142
U143,28,Male,MBA,Swarnakar,Business,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P143
U144,37,Male,B.Tech,Brahmin,Pharma Co B'loe,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P144
U145,38,Male,MSC B.Ed,Kayastha,MNC-IT,Christian,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P145
U146,19,Male,MA,Brahmin,IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P146
U147,33,Female,BA,Brahmin,IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P147
U148,19,Male,MA B.Ed,General,Business,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P148
U149,24,Female,MBA,Baisya,Business,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P149
U150,19,Male,B.Tech,SC,IT,Muslim,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P150
U151,18,Female,MA B.Ed,General,Digital Marketting B'lore,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P151
U152,22,Male,MSC B.Ed,Kayastha,MNC-IT,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P152
U153,23,Male,B.Tech MBA,Brahmin,Bank,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P153
U154,18,Female,MA B.Ed,Swarnakar,IT,Muslim,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P154
U155,38,Female,MA B.Ed,Kayastha,Hospital Nurse,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P155
U156,32,Male,BA,General,IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P156
U157,28,Female,BA,Kayastha,IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P157
U158,24,Male,MSC B.Ed,SC,IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P158
U159,32,Male,MBA,Brahmin,IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P159
U160,32,Male,MA B.Ed,Kayastha,Business,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P160
U161,20,Male,B.Tech,General,IT,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P161
U162,26,Female,MSC B.Ed,Brahmin,IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P162
U163,26,Male,MA B.Ed,Kayastha,20LPA,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P163
U164,38,Male,MA B.Ed,General,Bank,Christian,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P164
U165,23,Female,MA B.Ed,Kayastha,12LPA,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P165
U166,39,Male,MSC B.Ed,Baisya,MNC-IT,Muslim,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P166
U167,39,Male,MBA,General,Business,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P167
U168,19,Male,MA,Sunni,IT,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P168
U169,22,Male,BSc,Swarnakar,MNC-IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P169
U170,20,Female,MSC B.Ed,General,IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P170
U171,38,Male,MA B.Ed,Brahmin,Business,Christian,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P171
U172,33,Male,BA,General,Hospital Nurse,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P172
U173,22,Male,LLB,Baisya,Business,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P173
U174,27,Male,B.Tech,SC,Law Firm,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P174
U175,22,Male,BSc,Chatterjee,Researcg-Scholar-germany,Christian,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P175
U176,20,Female,LLB,Brahmin,15LPA,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P176
U177,19,Male,BA,Brahmin,Bank,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P177
U178,28,Male,MBA,General,15LPA,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P178
U179,18,Male,PhD,Kayastha,MNC-IT,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P179
U180,34,Female,B.Tech,Sunni,IT,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P180
U181,31,Female,BA B.Ed,Banik,Bank,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P181
U182,36,Male,MBA,General,Advocate,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P182
U183,29,Male,MA,Sunni,IT,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P183
U184,38,Male,BA,Brahmin,20LPA,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P184
U185,26,Female,MBA,SC,15LPA,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P185
U186,36,Male,MA,Sunni,MNC-IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P186
U187,36,Male,MBA,General,Law Firm,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P187
U188,22,Female,BA,General,MNC-IT,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P188
