PreferenceID,Age,Gender,Education,Caste,Profession,Residence,Religion,Height_cm,Extras,userID
P075,38,Male,IIT,Kayastha,College lecturer,urban,Hindu,152,,75
P076,28,Female,B.com,Kayastha,IT,rural,Hindu,132,,76
P077,35,Male,BA,Brahmin,Pharma Co B'loe,urban,Hindu,152,,77
P078,39,Male,MSC B.Ed,Kayastha,MNC,urban,Hindu,132,,78
P079,19,Female,B.Tech,Kayastha,Business,rural,Hindu,132,,79
P080,39,Female,PhD,Kayastha,MNC-IT,rural,Hindu,132,,80
P081,19,Male,B.Tech MBA,Kayastha,Asst Professor in Govt College,urban,Hindu,152,,81
P082,20,Male,B.Tech,Brahmin,Bank,rural,Hindu,162,,82
P083,34,Male,B.Tech,Brahmin,Law Firm,urban,Hindu,132,,83
P084,35,Female,B.Tech MBA,General,MBA 35LPA,rural,Hindu,132,,84
P085,38,Female,B.Tech MBA,Brahmin,MNC-IT,rural,Hindu,157,,85
P086,32,Male,B.Tech MBA,Brahmin,B.Tech 10LPA,rural,Hindu,154,,86
P087,26,Male,MBA,Kayastha,MNC-IT,rural,Hindu,157,,87
P088,30,Male,B.Tech,Kayastha,Digital Marketting B'lore,urban,Hindu,132,,88
P089,35,Male,IIT,Brahmin,MBA 12LPA,urban,Hindu,154,,89
P090,26,Female,B.Tech,Kayastha,Bank,urban,Hindu,157,,90
P091,22,Female,MBA,Kayastha,Professor,urban,Hindu,132,,91
P092,33,Female,MA B.Ed,Mahishya,IT Engineer(U.K.),rural,Hindu,152,,92
P093,33,Male,BA,General,Researcg-Scholar-germany,urban,Hindu,132,,93
P094,39,Male,MA B.Ed,General,Bank,rural,Hindu,154,,94
P095,27,Male,B.Tech,Kayastha,Professor,rural,Hindu,152,,95
P096,35,Male,MBBS,Pal,Law Firm,urban,Hindu,157,,96
P097,39,Male,B.Tech,Kayastha,Railway Asst. Engineer,urban,Hindu,157,,97
P098,19,Male,B.Tech MBA,Brahmin,MBA 12LPA,urban,Hindu,162,,98
P099,31,Female,B.Tech,Kayastha,Working at TCS,urban,Hindu,157,,99
P100,18,Male,"M.Tech,PHD",Kayastha,Asst Professor,urban,Hindu,157,,100
P101,21,Male,B.Tech,Brahmin,Business,urban,Hindu,132,,101
P102,28,Female,B.Tech,Brahmin,Law Firm,rural,Hindu,162,,102
P103,20,Female,MBA,Brahmin,B.Tech 15LPA,rural,Hindu,157,,103
P104,32,Male,MBA,Brahmin,Bank Manager,rural,Hindu,162,,104
P105,33,Male,IIT,Mahishya,MNC-IT,rural,Hindu,162,,105
P106,24,Male,BSc,Baisya,MNC-IT,urban,Hindu,132,,106
P107,34,Female,B.Tech,Kayastha,Pharma Co B'loe,urban,Hindu,152,,107
P108,30,Female,MA B.Ed,Kayastha,Digital Marketting B'lore,urban,Hindu,157,,108
P109,27,Male,B.Tech,Kayastha,Business,rural,Hindu,162,,109
P110,25,Female,MBBS,Brahmin,Working IN U.S.,urban,Hindu,157,,110
P111,26,Male,M.Tech,Brahmin,MNC-IT,rural,Hindu,157,,111
P112,33,Male,MA B.Ed,Kayastha,Asst Professor,urban,Hindu,132,,112
P113,23,Male,B.Tech,Brahmin,Asst Professor in Govt College,urban,Hindu,157,,113
P114,38,Male,B.Tech,Gandha Banik,Asst Professor,rural,Hindu,162,,114
P115,30,Male,BA,Brahmin,B.Tech MBA Pvt 10LPA,urban,Hindu,132,,115
P116,18,Male,MBA,Sunni,MNC,urban,Hindu,162,,116
P117,35,Female,B.Tech,Kayastha,MNC,rural,Hindu,152,,117
P118,18,Female,B.Tech,Brahmin,IT Engineer(U.K.),rural,Hindu,132,,118
P119,24,Female,BA,Sunni,MBA 35LPA,rural,Others,152,,119
P120,19,Male,Bcom,Kayastha,MNC 18LPA,rural,Hindu,157,,120
P121,25,Male,MSC B.Ed,Namasudra,MNC-IT,urban,Hindu,157,,121
P122,20,Female,MSC B.Ed,Kayastha,MNC-IT,urban,Hindu,154,,122
P123,31,Male,MBA,Brahmin,MBA 35LPA,urban,Hindu,154,,123
P124,28,Female,BSc,Kayastha,Bank Manager,rural,Hindu,157,,124
P125,30,Female,M.Tech,Kayastha,MNC-IT,rural,Hindu,152,,125
P126,39,Male,IIT,Brahmin,Bank,urban,Christian,157,,126
P127,20,Female,MBA,Kayastha,Railway Asst. Engineer,rural,Hindu,154,,127
P128,25,Male,MA B.Ed,Brahmin,Working at TCS,urban,Hindu,154,,128
P129,34,Male,MBA,Tili,Asst Professor,urban,Hindu,132,,129
P130,26,Male,B.Tech,Banerjee,Bank,rural,Hindu,152,,130
P131,37,Female,B.Tech MBA,Mahishya,Working at Indian Oil 14LPA,urban,Muslim,132,,131
P132,39,Male,BA,Kayastha,MNC-IT,urban,Hindu,157,,132
P133,29,Female,IIT,Kayastha,Working IN U.S.,urban,Hindu,162,,133
P134,27,Female,NIT,Brahmin,MNC,urban,Hindu,154,,134
P135,32,Male,MA,others,IT,urban,Hindu,157,,135
P136,35,Male,B.Tech,Mahishya,M.Teach 14LPA,rural,Hindu,162,,136
P137,35,Male,B.Tech,Kayastha,B.Tech 15LPA,urban,Hindu,132,,137
P138,19,Female,MSC B.Ed,Sunni,Digital Marketting B'lore,urban,Hindu,154,,138
P139,37,Female,MA,Brahmin,Professor,urban,Hindu,152,,139
P140,34,Female,MBA,Kayastha,Govt job,urban,Hindu,154,,140
P141,19,Female,MA B.Ed,Banerjee,Digital Marketting B'lore,urban,Hindu,132,,141
P142,27,Male,MBA,Kayastha,Asst Professor,urban,Hindu,162,,142
P143,22,Female,B.Tech MBA,Banerjee,Bank Manager,rural,Hindu,154,,143
P144,21,Female,MA,Brahmin,College lecturer,rural,Hindu,157,,144
P145,28,Female,"M.Tech,PHD",Yadav,Pharma Co B'loe,rural,Hindu,152,,145
P146,27,Female,MSC B.Ed,Kayastha,Project Manager at IBM-35LPA,rural,Hindu,132,,146
P147,21,Male,B.Tech,Kayastha,Researcg-Scholar-germany,rural,Hindu,132,,147
P148,18,Female,B.Tech,Brahmin,Digital Marketting B'lore,urban,Hindu,154,,148
P149,32,Male,NIT,Namasudra,Asst Professor,rural,Hindu,132,,149
P150,37,Female,BA,Brahmin,MBA 12LPA,urban,Hindu,157,,150
P151,33,Male,MBA,Brahmin,Govt job,rural,Hindu,157,,151
P152,32,Female,MBA,Kayastha,MBA 35LPA,rural,Hindu,162,,152
P153,33,Female,MBA,Kayastha,Business,rural,Hindu,162,,153
P154,35,Male,MSC B.Ed,Kayastha,Law Firm,rural,Hindu,152,,154
P155,36,Male,MBA,Kayastha,Asst Professor,rural,Hindu,162,,155
P156,30,Female,IIT,Kayastha,Working at Indian Oil 14LPA,urban,Hindu,157,,156
P157,19,Male,B.Tech,Kayastha,Professor,rural,Hindu,152,,157
P158,25,Female,MA,Tili,Project Manager at IBM-35LPA,urban,Hindu,162,,158
P159,36,Female,MBA,Kayastha,Bank,urban,Hindu,154,,159
P160,34,Female,MA,Kayastha,M.Teach 14LPA,urban,Hindu,157,,160
P161,31,Female,MBBS,Brahmin,B.Tech 15LPA,rural,Muslim,152,,161
P162,23,Male,MBA,SC,Govt job,urban,Hindu,157,,162
P163,20,Female,MA,Tantybaya,M.Teach 14LPA,rural,Hindu,157,,163
P164,25,Female,B.Tech,Karmakar,MBA 35LPA,rural,Hindu,152,,164
P165,36,Male,BA,Brahmin,MNC-IT,urban,Hindu,152,,165
P166,31,Female,MSC B.Ed,Brahmin,MNC,urban,Hindu,154,,166
P167,24,Female,BA,Brahmin,MNC,urban,Hindu,152,,167
P168,36,Female,MSC B.Ed,Kayastha,Bank,rural,Hindu,152,,168
P169,32,Female,BA B.Ed,Sadgop,MBA-10LPA,rural,Hindu,152,,169
P170,32,Male,B.Tech,Brahmin,IT,rural,Hindu,154,,170
P171,27,Female,B.com,Brahmin,MNC-IT,rural,Hindu,157,,171
P172,26,Female,B.Tech,Kayastha,IT,rural,Hindu,152,,172
P173,35,Female,B.Tech,Brahmin,IT,rural,Hindu,162,,173
P174,30,Female,"M.Tech,PHD",Sadgop,Govt job,rural,Hindu,162,,174
P175,29,Female,Bcom,Brahmin,MNC 9LPA,rural,Hindu,154,,175
P176,33,Male,MA,Brahmin,Digital Marketting B'lore,rural,Hindu,152,,176
P177,33,Female,B.Tech,Kayastha,Business,rural,Hindu,162,,177
P178,29,Female,IIT,Kayastha,MNC 9LPA,rural,Hindu,157,,178
P179,20,Female,LLB,Tili,MBA 12LPA,urban,Hindu,157,,179
P180,18,Male,MBBS,Kayastha,Researcg-Scholar-germany,rural,Hindu,162,,180
P181,32,Male,B.com,Brahmin,B.Tech 15LPA,urban,Hindu,154,,181
P182,18,Female,MA B.Ed,Brahmin,MNC,rural,Hindu,162,,182
P183,35,Female,MSC B.Ed,Brahmin,IT,rural,Hindu,152,,183
P184,37,Female,MSC B.Ed,Brahmin,Digital Marketting B'lore,urban,Hindu,157,,184
P185,38,Male,B.Tech,Brahmin,Bank,rural,Hindu,162,,185
P186,28,Female,MBA,Kayastha,College lecturer,urban,Hindu,152,,186
P187,31,Female,BA B.Ed,Kayastha,Govt job,rural,Hindu,132,,187
P188,24,Male,MBA,Kayastha,Law Firm,urban,Hindu,152,,188
P189,36,Male,B.Tech,Brahmin,Business,rural,Hindu,162,,189
P190,36,Female,MBA,Kayastha,Working at TCS,urban,Hindu,132,,190
P191,20,Female,MBA,Kayastha,Pharma Co B'loe,rural,Hindu,157,,191
P192,18,Female,B.Tech,Kayastha,MNC-IT,urban,Hindu,154,,192
P193,29,Female,B.Tech,Kayastha,Railway Asst. Engineer,urban,Hindu,157,,193
P194,18,Female,MSC B.Ed,Brahmin,IT Engineer(U.K.),urban,Hindu,152,,194
P195,23,Female,B.Tech,Kayastha,Law Firm,rural,Hindu,162,,195
P196,30,Male,MSC B.Ed,Kayastha,IT,rural,Hindu,157,,196
P197,29,Male,"M.SC,PHD",Barujibi,MNC,urban,Hindu,157,,197
P198,18,Female,MBA,Brahmin,Bank Manager,urban,Hindu,154,,198
P199,27,Male,B.Tech MBA,Kayastha,Working at Indian Oil 14LPA,urban,Hindu,154,,199
P200,26,Male,M.Tech,Barujibi,MNC 18LPA,rural,Hindu,157,,200
P201,35,Male,IIT,Kayastha,MNC-IT,rural,Hindu,132,,201
P202,34,Female,BA,Sunni,MNC-IT,urban,Hindu,162,,202
P203,38,Male,B.Tech,Kayastha,MBA 12LPA,rural,Hindu,152,,203
P204,32,Male,BSc,Brahmin,Business,urban,Hindu,152,,204
P205,27,Female,BA,OBC,Working IN U.S.,rural,Hindu,157,,205
P206,32,Female,MSC B.Ed,General,M.Teach 14LPA,urban,Hindu,132,,206
P207,29,Male,B.Tech,Kayastha,Bank,rural,Hindu,154,,207
P208,21,Female,IIT,Sadgop,B.Tech MBA Pvt 10LPA,urban,Hindu,162,,208
P209,25,Female,IIT,Brahmin,Law Firm,rural,Hindu,132,,209
P210,29,Female,MA,Kayastha,Business,urban,Hindu,132,,210
P211,31,Male,BA,Subarna Banik,B.Tech MBA Pvt 10LPA,urban,Hindu,132,,211
P212,29,Male,MA,Kayastha,MNC-IT,rural,Hindu,162,,212
P213,33,Male,MA,Kayastha,IT,urban,Hindu,162,,213
P214,23,Female,BA,Brahmin,Bank,rural,Hindu,132,,214
P215,31,Female,B.Tech,Brahmin,MNC 18LPA,rural,Hindu,162,,215
P216,23,Male,"M.SC,PHD",Kayastha,Officer in Central Govt.,urban,Muslim,157,,216
P217,22,Male,B.Tech MBA,Kayastha,MBA 12LPA,urban,Hindu,162,,217
P218,32,Male,MBA,Mahishya,College lecturer,urban,Hindu,132,,218
P219,19,Male,MSC B.Ed,Kayastha,Digital Marketting B'lore,rural,Hindu,132,,219
P220,18,Female,NIT,Kayastha,IT Engineer(U.K.),rural,Hindu,154,,220
P221,26,Male,BA,Baisya,MBA-10LPA,urban,Hindu,157,,221
P222,18,Male,B.Tech,Kayastha,Asst Professor,urban,Hindu,162,,222
P223,26,Male,MA,Kayastha,Working at TCS,rural,Hindu,154,,223
P224,20,Male,B.Tech,Brahmin,B.Tech 10LPA,urban,Hindu,132,,224
P225,18,Female,B.Tech,Mahishya,Asst Professor in Govt College,rural,Hindu,154,,225
P226,38,Male,B.Tech,Kayastha,MNC,rural,Hindu,152,,226
P227,36,Female,MSC B.Ed,Kayastha,Govt job,urban,Hindu,154,,227
P228,26,Male,B.Tech,Baisya,MNC-IT,rural,Hindu,152,,228
P229,31,Male,B.Tech,Kayastha,Researcg-Scholar-germany,rural,Hindu,132,,229
P230,38,Female,PhD,Kayastha,Asst Professor,rural,Hindu,154,,230
P231,37,Female,MA,Namasudra,M.Teach 14LPA,urban,Hindu,132,,231
P232,19,Female,MA,Namasudra,Asst Professor in Govt College,urban,Hindu,157,,232
P233,27,Male,MSC B.Ed,Brahmin,MNC 9LPA,rural,Hindu,152,,233
P234,39,Female,MBA,Kayastha,Railway Asst. Engineer,urban,Hindu,152,,234
P235,26,Male,B.Tech MBA,Brahmin,College lecturer,rural,Hindu,154,,235
P236,35,Female,B.Tech,Kayastha,Business,rural,Hindu,154,,236
P237,20,Female,M.Tech,Kayastha,MNC 18LPA,urban,Hindu,154,,237
P238,22,Male,LLB,Kayastha,Working at Indian Oil 14LPA,urban,Hindu,154,,238
P239,23,Male,B.Tech MBA,Kayastha,IT Engineer(U.K.),urban,Hindu,154,,239
P240,25,Female,B.Tech,Baisya,Bank,urban,Hindu,157,,240
P241,28,Female,MSC B.Ed,Mahishya,Business,rural,Hindu,157,,241
P242,29,Female,MSC B.Ed,Kayastha,Advocate,urban,Hindu,157,,242
P243,34,Female,B.Tech MBA,Mahishya,Officer in Central Govt.,rural,Hindu,152,,243
P244,35,Female,B.Tech,Brahmin,Bank Manager,rural,Christian,162,,244
P245,19,Male,B.Tech MBA,Banerjee,IT,rural,Hindu,132,,245
P246,28,Male,MBA,Namasudra,MNC,urban,Hindu,154,,246
P247,23,Male,MSC B.Ed,Brahmin,Asst Professor in Govt College,rural,Hindu,132,,247
P248,36,Female,B.Tech,Kayastha,Business,rural,Hindu,154,,248
P249,38,Female,IIT,Kayastha,MNC-IT,rural,Hindu,132,,249
P250,21,Male,MA,Kayastha,MBA 12LPA,rural,Hindu,154,,250
P251,20,Female,B.Tech,SC,Project Manager at IBM-35LPA,urban,Hindu,154,,251
P252,38,Male,B.Tech,Baisya,Govt job,rural,Hindu,152,,252
P253,37,Female,B.Tech,Tili,Working at Indian Oil 14LPA,urban,Hindu,152,,253
P254,21,Male,IIT,Baisya,Project Manager at IBM-35LPA,rural,Others,154,,254
P255,21,Female,B.com,Kayastha,IT,urban,Hindu,152,,255
P256,26,Female,B.Tech,Kayastha,MNC-IT,rural,Hindu,154,,256
P257,35,Male,MSC B.Ed,Kayastha,MBA 12LPA,urban,Hindu,152,,257
P258,35,Female,MBA,SC,Railway Asst. Engineer,rural,Hindu,132,,258
P259,26,Female,MBA,Kayastha,Professor,rural,Muslim,154,,259
P260,35,Female,BA,Brahmin,Professor,urban,Hindu,157,,260
P261,39,Female,B.Tech,Brahmin,Researcg-Scholar-germany,urban,Hindu,154,,261
P262,28,Female,MBA,Brahmin,IT,urban,Hindu,162,,262
P263,20,Female,B.Tech,Brahmin,Bank,urban,Hindu,157,,263
P264,36,Female,BA,Kayastha,MNC,urban,Hindu,154,,264
P265,33,Male,B.Tech,Kayastha,College lecturer,rural,Hindu,157,,265
P266,36,Male,B.Tech,Kayastha,IT,rural,Hindu,152,,266
P267,36,Female,MA,Kayastha,Professor,rural,Hindu,154,,267
P268,39,Male,"M.Tech,PHD",Brahmin,Bank,urban,Hindu,162,,268
P269,18,Male,MA B.Ed,Sunni,IT,rural,Hindu,162,,269
P270,29,Male,IIT,Baisya,IT,urban,Hindu,154,,270
P271,23,Female,MBA,Brahmin,IT,rural,Hindu,152,,271
P272,25,Male,BA,Subarna Banik,Govt job,urban,Hindu,154,,272
P273,33,Female,LLB,Kayastha,Pharma Co B'loe,urban,Hindu,154,,273
P274,36,Male,IIT,Kayastha,Law Firm,rural,Hindu,132,,274
P275,22,Male,MBA,Kayastha,Asst Professor,rural,Hindu,132,,275
P276,24,Female,MBBS,Kayastha,B.Tech 15LPA,rural,Hindu,132,,276
P277,26,Male,MBA,Kayastha,IT Engineer(U.K.),rural,Hindu,154,,277
P278,37,Male,B.Tech,Kayastha,Business,urban,Hindu,132,,278
P279,33,Female,MSC B.Ed,Kayastha,Pharma Co B'loe,urban,Hindu,132,,279
P280,24,Male,NIT,Yadav,Bank,urban,Hindu,154,,280
P281,37,Male,MA B.Ed,Brahmin,Asst Professor,rural,Hindu,157,,281
P282,26,Female,MSC B.Ed,Brahmin,B.Tech 10LPA,urban,Hindu,152,,282
P283,25,Female,MBA,Kayastha,Working at TCS,urban,Hindu,132,,283
P284,33,Female,MBA,Brahmin,B.Tech MBA Pvt 10LPA,urban,Hindu,162,,284
P285,23,Female,MBA,Banerjee,B.Tech 15LPA,urban,Hindu,162,,285
P286,25,Female,MA,Brahmin,M.Teach 14LPA,urban,Hindu,154,,286
P287,19,Female,MA,Kayastha,Asst Professor in Govt College,rural,Hindu,162,,287
P288,36,Male,MBA,Kayastha,MBA 12LPA,rural,Hindu,154,,288
P289,18,Male,MA B.Ed,Kayastha,MNC-IT,rural,Hindu,162,,289
P290,22,Male,B.Tech,Kayastha,MNC-IT,urban,Hindu,154,,290
P291,33,Female,B.Tech MBA,Kayastha,MNC-IT,urban,Hindu,162,,291
P292,30,Female,MSC B.Ed,Brahmin,Digital Marketting B'lore,urban,Hindu,157,,292
P293,24,Male,B.Tech MBA,Brahmin,Working at Indian Oil 14LPA,urban,Hindu,132,,293
P294,33,Female,BA,Baisya,Asst Professor in Govt College,rural,Hindu,162,,294
P295,39,Male,BA,Tili,Researcg-Scholar-germany,rural,Hindu,154,,295
P296,28,Male,B.Tech MBA,Sadgop,Business,rural,Christian,157,,296
P297,39,Female,MBA,Mahishya,IT,rural,Hindu,154,,297
P298,33,Female,IIT,Namasudra,MNC-IT,rural,Hindu,157,,298
P299,29,Male,B.Tech,Pal,IT,urban,Hindu,152,,299
P300,28,Female,MA,Kayastha,Business,rural,Hindu,154,,300
P301,27,Female,BA,Tili,Asst Professor in Govt College,rural,Hindu,162,,301
P302,22,Male,M.Tech,Kayastha,MNC-IT,urban,Hindu,152,,302
P303,34,Male,B.Tech,Brahmin,B.Tech 10LPA,rural,Hindu,152,,303
P304,18,Male,"M.Tech,PHD",Kayastha,Business,rural,Hindu,152,,304
P305,33,Male,B.Tech,Brahmin,B.Tech 10LPA,urban,Hindu,154,,305
P306,33,Female,MA,Pal,Asst Professor in Govt College,rural,Hindu,157,,306
P307,35,Female,MA B.Ed,Brahmin,MNC-IT,rural,Hindu,132,,307
P308,37,Female,IIT,Sadgop,Bank,rural,Hindu,162,,308
P309,23,Female,MA B.Ed,Brahmin,Bank Manager,rural,Hindu,132,,309
P310,33,Female,MSC B.Ed,Kayastha,MBA 35LPA,rural,Hindu,132,,310
P311,27,Male,LLB,Banerjee,B.Tech 15LPA,urban,Sikh,154,,311
P312,34,Female,B.Tech,Brahmin,Bank,rural,Hindu,154,,312
P313,33,Male,MBA,Kayastha,Business,rural,Christian,157,,313
P314,34,Female,MSC B.Ed,Kayastha,M.Teach 14LPA,urban,Hindu,162,,314
P315,29,Male,MBA,Kayastha,Pharma Co B'loe,rural,Hindu,162,,315
P316,20,Female,MBA,SC,MNC,urban,Sikh,154,,316
P317,22,Female,BSc,Brahmin,MBA-10LPA,rural,Hindu,152,,317
P318,32,Male,BA,Brahmin,MBA 12LPA,urban,Hindu,152,,318
P319,39,Male,MBA,Brahmin,MNC-IT,rural,Hindu,132,,319
P320,32,Male,B.Tech,Sunni,Asst Professor,urban,Hindu,132,,320
P321,33,Female,B.Tech,Brahmin,M.Teach 14LPA,rural,Hindu,154,,321
P322,30,Female,MBA,Kayastha,Asst Professor in Govt College,rural,Hindu,154,,322
P323,19,Female,LLB,Kayastha,Asst Professor,urban,Muslim,157,,323
P324,29,Male,BSc,Kayastha,MNC 9LPA,urban,Hindu,162,,324
P325,33,Male,BA,SC,MBA-10LPA,urban,Hindu,162,,325
P326,31,Female,M.Tech,Tili,MNC-IT,rural,Hindu,152,,326
P327,28,Male,MBA,Tili,Business,rural,Hindu,162,,327
P328,20,Male,B.Tech,Karmakar,Asst Professor in Govt College,rural,Hindu,157,,328
P329,18,Female,MSC B.Ed,Kayastha,Working IN U.S.,rural,Hindu,154,,329
P330,35,Male,B.Tech,Baisya,Working at Indian Oil 14LPA,urban,Hindu,157,,330
P331,21,Female,B.Tech,Namasudra,Asst Professor in Govt College,urban,Hindu,157,,331
P332,28,Female,MBA,Baisya,MNC,urban,Hindu,132,,332
P333,20,Male,B.Tech,Kayastha,B.Tech 10LPA,urban,Muslim,154,,333
P334,26,Male,MBA,Kayastha,IT,rural,Hindu,162,,334
P335,39,Male,BA,Banerjee,Working at TCS,rural,Hindu,162,,335
P336,19,Female,MA B.Ed,Sunni,B.Tech 15LPA,urban,Hindu,132,,336
P337,29,Male,BA,Tili,Business,urban,Hindu,157,,337
P338,36,Female,MBA,Brahmin,Bank,urban,Hindu,157,,338
P339,32,Male,IIT,Kayastha,MNC,rural,Hindu,152,,339
P340,38,Male,BA,Sunni,Researcg-Scholar-germany,rural,Hindu,152,,340
P341,29,Female,MBA,Sadgop,B.Tech MBA Pvt 10LPA,rural,Hindu,157,,341
P342,19,Male,B.Tech,Kayastha,MNC 18LPA,urban,Hindu,152,,342
P343,32,Male,LLM,Namasudra,Govt job,rural,Hindu,157,,343
P344,31,Female,B.Tech,SC,B.Tech MBA Pvt 10LPA,urban,Hindu,157,,344
P345,33,Female,BA,Brahmin,MBA 35LPA,rural,Hindu,157,,345
P346,20,Male,MBA,Mukherjee,MBA 35LPA,urban,Hindu,157,,346
