,Age_at_Marriage,Gender,Education_Level,Caste_Match,Religion,Urban_Rural,Marital_Satisfaction,Divorce_Status,Income_Level,Spouse_Working,Inter-Caste,Inter-Religion
97,38,Female,School,Same,Hindu,Urban,High,No,Middle,Yes,Yes,No
98,39,Male,Postgraduate,Different,Hindu,Urban,High,No,Middle,No,No,Yes
99,22,Female,Graduate,Same,Hindu,Rural,Medium,No,High,Yes,No,No
100,21,Female,Graduate,Different,Hindu,Rural,Low,No,Middle,Yes,No,No
101,37,Male,Postgraduate,Same,Christian,Urban,Medium,No,Middle,No,No,No
102,18,Male,Graduate,Different,Christian,Urban,Low,No,Low,Yes,Yes,No
103,19,Female,School,Same,Hindu,Urban,Low,Yes,Middle,Yes,No,No
104,21,Female,Postgraduate,Same,Hindu,Urban,High,No,High,Yes,No,No
105,28,Female,Graduate,Same,Hindu,Urban,Medium,No,Middle,Yes,Yes,No
106,26,Male,Postgraduate,Same,Hindu,Urban,Medium,Yes,Middle,Yes,No,No
107,33,Male,Graduate,Same,Christian,Urban,Medium,Yes,Middle,No,No,No
108,27,Female,Postgraduate,Different,Hindu,Rural,High,No,Middle,No,No,Yes
109,37,Male,Graduate,Same,Muslim,Urban,Medium,No,Middle,No,No,No
110,33,Female,School,Same,Hindu,Urban,Medium,No,Middle,No,No,No
111,30,Female,School,Different,Christian,Urban,Low,No,Middle,Yes,No,No
112,19,Female,School,Same,Hindu,Rural,Medium,No,Middle,Yes,No,No
113,31,Female,Graduate,Same,Muslim,Rural,Medium,Yes,High,No,No,No
114,22,Female,Graduate,Different,Hindu,Rural,Medium,No,Middle,Yes,No,No
115,26,Female,Graduate,Same,Hindu,Urban,Medium,No,High,Yes,No,No
116,32,Male,Postgraduate,Same,Christian,Urban,Medium,No,Low,Yes,No,No
117,19,Male,School,Same,Hindu,Urban,Medium,No,Middle,No,Yes,No
118,25,Male,School,Same,Muslim,Urban,High,No,Middle,Yes,No,No
119,38,Female,Postgraduate,Same,Christian,Urban,Medium,No,Middle,Yes,No,No
120,37,Female,Graduate,Same,Hindu,Urban,Medium,No,Low,No,Yes,No
121,21,Male,Postgraduate,Same,Christian,Rural,High,No,Middle,No,Yes,No
122,20,Female,Graduate,Same,Muslim,Rural,Low,No,Middle,Yes,Yes,No
123,36,Male,School,Different,Hindu,Rural,High,No,High,No,No,No
124,20,Male,Postgraduate,Different,Hindu,Rural,Low,No,High,Yes,Yes,No
125,39,Female,Graduate,Different,Muslim,Urban,Medium,No,Middle,No,No,Yes
126,29,Male,School,Same,Muslim,Urban,High,No,Middle,No,No,No
127,22,Female,Graduate,Same,Muslim,Urban,Low,No,High,No,No,No
128,22,Female,Postgraduate,Same,Hindu,Rural,Medium,No,Middle,Yes,No,Yes
129,22,Female,Postgraduate,Same,Christian,Urban,Low,No,Middle,No,Yes,No
130,29,Male,School,Same,Hindu,Urban,High,Yes,Middle,No,No,Yes
131,29,Female,PhD,Different,Hindu,Urban,Medium,No,Middle,Yes,Yes,No
132,30,Male,Graduate,Different,Hindu,Urban,Medium,No,Middle,Yes,No,No
133,28,Male,PhD,Different,Christian,Urban,Medium,No,Middle,Yes,No,No
134,38,Female,Graduate,Different,Hindu,Urban,Medium,No,Low,Yes,No,No
135,22,Female,Graduate,Different,Hindu,Rural,Medium,No,Low,Yes,Yes,No
136,23,Female,Graduate,Same,Hindu,Urban,Medium,No,Middle,No,No,No
137,38,Male,Graduate,Same,Hindu,Rural,Medium,No,Middle,Yes,Yes,No
138,23,Male,Graduate,Same,Hindu,Urban,Medium,No,Middle,Yes,No,No
139,29,Male,School,Different,Sikh,Urban,High,No,Middle,Yes,No,No
140,24,Male,School,Same,Hindu,Urban,Low,Yes,Middle,No,No,No
141,27,Female,Postgraduate,Same,Hindu,Urban,High,No,Middle,No,No,No
142,28,Male,Graduate,Different,Hindu,Rural,High,Yes,Middle,No,No,No
143,37,Male,PhD,Different,Hindu,Urban,Medium,No,Middle,No,No,Yes
144,38,Male,School,Same,Hindu,Urban,High,No,Low,Yes,No,No
145,19,Male,Graduate,Same,Muslim,Urban,Medium,No,Middle,Yes,No,No
146,33,Female,Graduate,Same,Hindu,Urban,Low,No,Low,Yes,Yes,No
147,19,Male,Postgraduate,Same,Hindu,Urban,High,No,Low,Yes,No,No
148,24,Female,Graduate,Different,Hindu,Rural,High,No,Low,No,No,No
149,19,Male,PhD,Same,Sikh,Rural,Medium,No,Middle,Yes,No,No
150,18,Female,School,Same,Others,Rural,High,No,Middle,No,No,No
151,22,Male,School,Same,Hindu,Urban,Medium,No,Middle,No,No,No
152,23,Male,Graduate,Same,Others,Urban,Low,No,Middle,Yes,Yes,No
153,18,Female,Graduate,Same,Muslim,Rural,Medium,No,High,No,No,Yes
154,38,Female,Graduate,Same,Muslim,Urban,Low,No,Middle,Yes,No,No
155,32,Male,Graduate,Same,Muslim,Urban,Medium,No,Low,No,No,No
156,28,Female,PhD,Same,Hindu,Urban,Low,No,High,No,No,No
157,24,Male,School,Same,Hindu,Urban,Medium,No,Middle,Yes,No,No
158,32,Male,Graduate,Same,Muslim,Urban,High,No,High,No,Yes,No
159,32,Male,Postgraduate,Same,Hindu,Rural,Medium,No,Low,Yes,Yes,No
160,20,Male,School,Different,Others,Urban,High,No,High,No,No,Yes
161,26,Female,Graduate,Different,Muslim,Urban,Medium,No,High,No,No,No
162,26,Male,Graduate,Same,Others,Urban,Medium,No,Low,No,No,No
163,38,Male,School,Different,Muslim,Urban,High,No,Middle,No,No,No
164,23,Female,Graduate,Different,Muslim,Urban,High,No,Low,No,Yes,No
165,39,Male,School,Same,Christian,Rural,Medium,No,Middle,No,No,No
166,39,Male,Graduate,Same,Hindu,Urban,Low,No,Middle,No,Yes,No
167,19,Male,Graduate,Same,Muslim,Rural,Low,No,Low,Yes,No,No
168,22,Male,PhD,Same,Christian,Urban,Medium,No,Middle,Yes,No,No
169,20,Female,Graduate,Same,Muslim,Urban,Low,No,Middle,Yes,No,Yes
170,38,Male,School,Same,Hindu,Rural,Medium,No,Low,No,No,No
171,33,Male,School,Different,Sikh,Rural,High,No,Middle,Yes,No,No
172,22,Male,Graduate,Same,Hindu,Rural,Medium,No,Low,Yes,No,No
173,27,Male,Graduate,Different,Hindu,Rural,Medium,Yes,Middle,Yes,No,No
174,22,Male,School,Same,Hindu,Urban,High,No,Low,No,No,No
175,20,Female,School,Same,Hindu,Rural,Medium,No,Middle,Yes,Yes,Yes
176,19,Male,School,Same,Christian,Urban,High,No,Middle,Yes,Yes,No
177,28,Male,PhD,Different,Hindu,Urban,Low,No,Low,Yes,No,No
178,18,Male,PhD,Same,Muslim,Rural,Medium,No,Low,No,Yes,No
179,34,Female,School,Different,Hindu,Rural,High,No,Low,No,No,Yes
180,31,Female,Graduate,Same,Hindu,Urban,Medium,No,Middle,No,No,No
181,36,Male,Postgraduate,Same,Hindu,Urban,High,No,Low,No,No,No
182,29,Male,Postgraduate,Same,Hindu,Rural,Medium,No,Middle,Yes,No,No
183,38,Male,School,Same,Hindu,Rural,High,No,High,No,No,No
184,26,Female,Postgraduate,Same,Muslim,Urban,Medium,No,High,No,Yes,No
185,36,Male,Graduate,Same,Hindu,Urban,Medium,No,Low,No,No,No
186,36,Male,Graduate,Same,Muslim,Rural,Low,No,Middle,Yes,No,No
187,22,Female,School,Same,Hindu,Urban,Medium,No,High,Yes,No,No
188,37,Female,School,Same,Hindu,Urban,Low,No,Middle,Yes,Yes,No
189,31,Male,Graduate,Different,Christian,Rural,High,Yes,Middle,No,Yes,Yes
190,19,Male,School,Same,Hindu,Rural,Medium,No,Middle,Yes,No,No
191,24,Male,School,Different,Muslim,Urban,High,No,Low,No,No,No
192,24,Male,Graduate,Same,Hindu,Urban,High,No,Low,No,No,No
193,30,Male,School,Different,Hindu,Rural,Low,No,Middle,Yes,No,No
194,22,Male,School,Same,Hindu,Rural,Medium,No,Middle,No,No,Yes
195,35,Female,Postgraduate,Same,Christian,Urban,Low,No,High,Yes,No,No
196,22,Female,Graduate,Same,Hindu,Urban,Medium,No,Low,No,No,No
197,39,Male,Graduate,Different,Hindu,Rural,High,No,Low,Yes,No,No
198,25,Female,Graduate,Same,Hindu,Urban,Medium,Yes,Middle,Yes,No,No
199,21,Female,School,Different,Hindu,Rural,Low,No,Middle,Yes,No,No
200,23,Female,Graduate,Same,Muslim,Urban,High,No,Low,No,No,Yes
201,21,Male,Postgraduate,Same,Hindu,Urban,Low,No,High,Yes,No,Yes
202,25,Female,Graduate,Same,Hindu,Rural,Medium,No,Low,Yes,No,No
203,32,Female,Postgraduate,Same,Hindu,Urban,Medium,No,High,No,Yes,No
204,26,Male,Postgraduate,Different,Hindu,Urban,Medium,Yes,Middle,Yes,No,No
205,29,Male,Graduate,Different,Hindu,Urban,Low,No,Middle,No,No,No
206,23,Female,School,Same,Hindu,Urban,Medium,No,Middle,Yes,No,No
207,25,Male,Graduate,Same,Hindu,Urban,High,No,Middle,No,No,No
208,24,Male,Postgraduate,Same,Christian,Urban,High,No,High,Yes,No,No
209,19,Male,PhD,Same,Hindu,Urban,High,No,High,No,Yes,No
210,29,Female,PhD,Different,Muslim,Urban,Low,No,High,No,No,No
211,21,Female,Graduate,Different,Hindu,Rural,Low,No,Middle,No,No,Yes
212,37,Female,School,Same,Christian,Urban,High,Yes,Middle,No,No,No
213,28,Male,Postgraduate,Same,Hindu,Urban,Medium,No,High,No,Yes,No
214,28,Male,Postgraduate,Same,Hindu,Rural,High,No,High,Yes,No,No
215,24,Female,School,Different,Christian,Urban,Low,Yes,High,Yes,No,Yes
216,21,Female,Postgraduate,Same,Muslim,Rural,Medium,Yes,Low,No,No,No
217,26,Female,School,Same,Hindu,Urban,Medium,No,Middle,Yes,No,Yes
218,18,Female,Postgraduate,Same,Christian,Rural,High,No,Middle,Yes,No,No
219,25,Male,PhD,Same,Hindu,Rural,Low,No,Low,Yes,Yes,No
220,23,Female,PhD,Same,Others,Rural,Medium,No,High,Yes,No,No
221,30,Female,Graduate,Different,Hindu,Urban,Medium,No,High,No,Yes,No
222,33,Female,Graduate,Same,Hindu,Rural,Medium,No,Low,Yes,No,No
223,37,Female,Postgraduate,Same,Others,Urban,Low,No,Middle,Yes,No,Yes
224,20,Male,School,Different,Hindu,Urban,High,No,Low,Yes,Yes,Yes
225,31,Female,Graduate,Same,Muslim,Rural,High,Yes,Middle,No,No,No
226,32,Male,School,Same,Hindu,Urban,High,No,Low,Yes,No,No
227,21,Female,Graduate,Same,Hindu,Rural,Low,No,Middle,No,No,No
228,31,Female,Postgraduate,Different,Hindu,Rural,High,No,Middle,Yes,No,Yes
229,29,Male,School,Same,Hindu,Urban,Medium,No,High,No,No,No
230,35,Male,PhD,Same,Muslim,Urban,Medium,No,Middle,Yes,Yes,No
231,38,Male,Graduate,Different,Hindu,Urban,High,No,Middle,No,No,No
232,22,Female,PhD,Same,Hindu,Urban,Medium,No,Middle,No,No,Yes
233,19,Male,School,Same,Hindu,Rural,Low,No,High,Yes,No,No
234,20,Female,Graduate,Same,Hindu,Rural,Low,No,Middle,Yes,Yes,No
235,26,Male,Graduate,Same,Muslim,Rural,High,No,Middle,Yes,No,No
236,33,Male,Graduate,Same,Hindu,Urban,Medium,No,Middle,Yes,No,No
237,20,Female,Graduate,Same,Muslim,Rural,Medium,No,Middle,Yes,No,No
238,23,Female,Postgraduate,Different,Hindu,Urban,Medium,No,Middle,Yes,Yes,No
239,27,Male,School,Same,Hindu,Urban,Low,No,Middle,No,No,No
240,37,Male,Graduate,Same,Muslim,Rural,Medium,No,Middle,Yes,Yes,No
241,25,Male,Graduate,Different,Hindu,Rural,Medium,No,Low,No,No,No
242,28,Male,Postgraduate,Same,Hindu,Urban,Medium,No,Middle,Yes,No,No
243,37,Male,School,Same,Muslim,Urban,Medium,No,Middle,No,Yes,Yes
244,27,Female,School,Same,Hindu,Rural,Low,No,High,Yes,No,No
245,33,Female,Graduate,Same,Hindu,Rural,High,Yes,Low,No,Yes,No
246,38,Female,Postgraduate,Same,Hindu,Rural,Medium,Yes,High,Yes,No,No
247,25,Male,Graduate,Same,Hindu,Rural,Medium,No,Middle,No,No,No
248,32,Male,Postgraduate,Different,Hindu,Urban,Low,No,Middle,No,No,No
249,20,Female,School,Same,Hindu,Urban,Medium,No,Middle,No,No,No
250,37,Male,Graduate,Same,Hindu,Urban,Medium,No,Middle,No,Yes,Yes
251,20,Female,PhD,Same,Hindu,Rural,Medium,No,Middle,Yes,No,No
252,28,Male,Graduate,Different,Hindu,Urban,Medium,No,Middle,Yes,No,No
253,32,Female,Graduate,Different,Muslim,Urban,High,No,Middle,Yes,No,Yes
254,31,Male,School,Same,Hindu,Urban,Low,No,High,No,No,No
255,27,Male,Postgraduate,Same,Hindu,Urban,Medium,No,Middle,No,No,No
256,36,Female,Graduate,Different,Hindu,Rural,Low,No,Middle,Yes,No,Yes
257,20,Male,Graduate,Same,Muslim,Rural,High,No,Low,No,No,No
258,26,Male,Graduate,Different,Muslim,Urban,Medium,No,Middle,No,Yes,Yes
259,28,Male,School,Same,Hindu,Rural,High,No,Middle,Yes,No,No
260,28,Male,School,Same,Christian,Urban,High,No,Middle,Yes,No,No
261,25,Male,Postgraduate,Same,Hindu,Urban,High,No,High,No,No,No
262,32,Male,Postgraduate,Same,Christian,Urban,High,No,Middle,No,No,Yes
263,34,Male,Graduate,Different,Others,Rural,High,No,Middle,Yes,Yes,Yes
264,32,Female,Graduate,Same,Others,Rural,Medium,No,Middle,No,Yes,No
265,33,Female,School,Different,Muslim,Urban,High,No,Low,Yes,No,No
266,38,Male,Postgraduate,Same,Others,Rural,Medium,No,Low,No,Yes,No
267,25,Female,PhD,Same,Christian,Rural,High,No,Middle,No,No,No
268,26,Female,School,Same,Sikh,Rural,Medium,Yes,Middle,No,No,Yes
269,39,Female,School,Different,Sikh,Urban,Medium,No,Low,Yes,No,No
270,23,Male,Postgraduate,Same,Hindu,Urban,Medium,No,Low,No,No,No
271,38,Female,Graduate,Same,Others,Urban,High,No,Low,Yes,Yes,No
272,20,Male,Postgraduate,Same,Hindu,Urban,Medium,No,High,Yes,No,No
273,36,Female,Postgraduate,Same,Hindu,Urban,Medium,No,Middle,Yes,Yes,No
274,30,Female,School,Same,Others,Urban,High,No,Middle,No,No,No
275,20,Male,School,Different,Hindu,Urban,Low,No,High,Yes,No,No
276,29,Female,PhD,Same,Hindu,Rural,High,No,High,No,No,No
277,39,Female,PhD,Same,Hindu,Urban,Low,No,Middle,Yes,No,No
278,26,Male,PhD,Same,Hindu,Rural,Medium,No,Middle,Yes,No,No
279,20,Female,Graduate,Same,Hindu,Rural,Medium,Yes,Middle,Yes,No,No
280,33,Female,Postgraduate,Different,Muslim,Rural,High,No,Middle,Yes,No,Yes
281,34,Male,School,Different,Hindu,Urban,Low,No,Middle,Yes,No,No
282,19,Male,Graduate,Different,Muslim,Urban,Medium,No,Low,Yes,No,Yes
283,21,Male,Postgraduate,Same,Hindu,Urban,Medium,No,High,Yes,No,No
284,29,Male,Graduate,Same,Christian,Urban,High,Yes,Middle,Yes,No,No
285,18,Male,Graduate,Same,Hindu,Urban,Medium,No,High,No,No,No
286,35,Male,PhD,Different,Christian,Rural,Low,No,Middle,Yes,No,No
287,28,Female,Graduate,Different,Hindu,Urban,Medium,No,Low,No,No,Yes
288,23,Female,School,Same,Hindu,Urban,Low,No,Middle,No,No,No
289,33,Female,Graduate,Same,Muslim,Urban,Medium,No,Low,Yes,Yes,No
290,20,Male,School,Same,Hindu,Urban,Medium,No,High,Yes,Yes,No
291,36,Male,Graduate,Same,Hindu,Urban,Low,No,Middle,Yes,Yes,Yes
292,28,Female,PhD,Same,Hindu,Rural,Low,No,Low,No,Yes,No
293,37,Male,Graduate,Same,Hindu,Urban,Low,No,High,Yes,No,No
294,33,Female,PhD,Same,Hindu,Rural,Medium,No,Low,No,No,No
295,31,Female,School,Same,Hindu,Rural,Medium,No,High,Yes,Yes,Yes
296,31,Male,PhD,Same,Muslim,Urban,Medium,No,Low,Yes,No,No
297,30,Male,Graduate,Different,Hindu,Urban,Medium,Yes,Low,Yes,No,No
298,36,Female,Postgraduate,Same,Christian,Rural,Medium,No,Middle,No,No,No
299,30,Male,Postgraduate,Same,Hindu,Urban,Low,No,Middle,No,Yes,No
300,23,Male,Postgraduate,Same,Hindu,Urban,Medium,No,Low,No,No,No
301,38,Female,School,Same,Hindu,Rural,Medium,No,Middle,No,Yes,No
302,36,Female,Postgraduate,Same,Hindu,Rural,Low,No,Middle,No,No,Yes
303,29,Female,Postgraduate,Same,Hindu,Rural,Medium,No,Low,Yes,No,No
304,35,Female,School,Same,Hindu,Urban,Medium,No,High,Yes,No,No
305,37,Male,PhD,Same,Muslim,Rural,Medium,No,Middle,No,No,No
306,28,Male,Postgraduate,Same,Muslim,Urban,High,No,Middle,No,No,No
307,21,Male,PhD,Different,Muslim,Urban,Low,No,Middle,Yes,No,No
308,37,Male,Graduate,Different,Hindu,Urban,High,No,High,No,No,No
309,39,Male,Postgraduate,Same,Muslim,Rural,Medium,Yes,Middle,No,No,No
310,25,Female,Graduate,Different,Hindu,Urban,Medium,No,Middle,No,No,Yes
311,21,Male,Postgraduate,Same,Christian,Urban,Medium,No,Low,Yes,No,No
312,18,Female,Postgraduate,Different,Hindu,Urban,High,No,High,No,No,Yes
313,39,Male,Postgraduate,Same,Christian,Urban,High,No,High,Yes,No,No
314,20,Female,PhD,Same,Hindu,Rural,Low,No,Low,Yes,No,No
315,30,Male,Postgraduate,Same,Hindu,Urban,Medium,No,Middle,Yes,Yes,Yes
316,21,Male,Graduate,Same,Muslim,Urban,Low,No,Low,No,Yes,No
317,21,Female,Graduate,Different,Muslim,Urban,Low,No,Low,No,No,No
318,25,Female,School,Different,Hindu,Rural,High,No,Middle,Yes,Yes,Yes
319,31,Female,Postgraduate,Different,Hindu,Urban,Medium,No,High,No,No,Yes
320,37,Male,Postgraduate,Same,Hindu,Rural,Medium,No,Low,No,No,No
321,32,Male,School,Different,Hindu,Rural,Medium,No,Middle,Yes,No,No
322,19,Male,School,Same,Hindu,Urban,Medium,No,Low,No,No,Yes
323,33,Female,School,Different,Sikh,Rural,Low,No,Low,Yes,Yes,No
324,37,Female,PhD,Same,Hindu,Urban,High,No,Low,Yes,Yes,No
325,18,Male,PhD,Same,Sikh,Rural,Low,No,Middle,Yes,No,No
326,22,Female,Postgraduate,Same,Hindu,Rural,Low,No,Low,Yes,Yes,No
327,39,Female,School,Same,Muslim,Urban,Medium,No,High,Yes,No,No
328,34,Male,PhD,Same,Hindu,Urban,Medium,No,High,No,No,Yes
329,18,Female,Graduate,Same,Hindu,Urban,Low,No,High,No,Yes,Yes
330,22,Male,School,Same,Hindu,Rural,Medium,No,Middle,No,Yes,Yes
331,38,Male,PhD,Same,Hindu,Urban,Medium,No,Middle,Yes,Yes,No
332,26,Female,School,Same,Others,Rural,Low,No,High,Yes,No,Yes
333,35,Female,Graduate,Different,Christian,Urban,Medium,No,Middle,No,No,No
334,25,Female,School,Same,Hindu,Urban,Medium,No,Low,No,No,No
335,39,Male,Graduate,Same,Hindu,Urban,Medium,No,Middle,Yes,No,No
336,30,Female,Graduate,Same,Hindu,Urban,Medium,No,Middle,Yes,No,No
337,28,Male,Postgraduate,Same,Hindu,Rural,Medium,No,Low,No,Yes,No
338,18,Female,School,Different,Muslim,Rural,Medium,Yes,Middle,Yes,No,No
339,33,Female,Graduate,Different,Hindu,Rural,Medium,No,Middle,Yes,No,No
340,39,Male,School,Different,Muslim,Urban,Medium,No,Low,Yes,Yes,No
341,31,Female,School,Same,Hindu,Rural,High,No,Low,No,No,No
342,39,Female,Graduate,Same,Hindu,Urban,High,No,Low,Yes,No,No
343,25,Male,Graduate,Different,Muslim,Rural,Medium,No,Low,Yes,No,Yes
344,18,Male,Postgraduate,Same,Muslim,Rural,High,No,Middle,Yes,No,No
345,38,Female,Graduate,Same,Hindu,Urban,Medium,No,Middle,Yes,No,No
346,20,Male,PhD,Same,Muslim,Urban,Medium,No,Middle,No,No,No
