Husband_age,Husband's Education Level,Husband Occupation_(grouped),Husband Ethnicity,Husband Religion,Wife's_current_age,Wife's height(centimeters),Wife's Education Level,Wife's_occupation_(grouped),Wife's Ethnicity,Wife's Religion,residence,State,Husband_partner_jealous_if_Wife_talks_with_other_men,Husband_partner_insists_on_knowing_where_Wife_is,Ever_been_humiliated_by_husband_partner,Ever_been_insulted_or_made_to_feel_bad_by_husband_partner,"Ever_been_pushed,_shook_or_had_something_thrown_by_husband_partner",Ever_been_slapped_by_husband_partner,Person_who_usually_decides_on_Wife's_health_care,Person_who_usually_decides_on_large_household_purchases,"Wife_afraid_of_husband_partner_most_of_the_time,_sometimes_or_never"
35,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Muslim,28,155.5,Higher Secondary,Agricultural,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
49,Secondary or below,Sales,No caste / tribe,Muslim,47,164.1,Secondary or below,Services / household and domestic,No caste / tribe,Muslim,Urban,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
41,Secondary or below,Sales,No caste / tribe,Muslim,40,157.3,Secondary or below,Not working,No caste / tribe,Muslim,Urban,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
28,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,No caste / tribe,Muslim,27,156.4,Higher Secondary,Not working,No caste / tribe,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Husband/partner alone,
33,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Muslim,29,159.2,Secondary or below,Skilled and unskilled manual,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
37,Higher Secondary,Sales,Caste,Muslim,35,160.2,Secondary or below,Agricultural,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
42,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Muslim,40,158.3,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
36,Secondary or below,Skilled and unskilled manual,Tribe,Muslim,35,159.4,Secondary or below,Not working,Tribe,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
25,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Muslim,24,149.6,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
42,Higher Secondary,Services / household and domestic,No caste / tribe,Muslim,39,153.4,Secondary or below,Agricultural,No caste / tribe,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
40,Secondary or below,Skilled and unskilled manual,Caste,Muslim,33,167.2,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
31,Secondary or below,Sales,Caste,Muslim,28,160.3,Higher Secondary,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
43,Higher Secondary,Sales,Caste,Hindu,38,158.3,Secondary or below,Not working,No caste / tribe,Hindu,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
52,Secondary or below,Agricultural,Caste,Muslim,46,164.0,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent alone,Husband/partner alone,
25,Secondary or below,Agricultural,Caste,Hindu,22,153.4,Secondary or below,Not working,Caste,Hindu,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
37,Secondary or below,Skilled and unskilled manual,Caste,Hindu,35,161.4,Secondary or below,Not working,Caste,Hindu,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
52,Secondary or below,Skilled and unskilled manual,Caste,Hindu,48,171.2,Secondary or below,Not working,Caste,Hindu,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
54,Secondary or below,Agricultural,Caste,Muslim,48,154.6,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
41,Secondary or below,Skilled and unskilled manual,Caste,Hindu,39,164.4,Secondary or below,Agricultural,Caste,Hindu,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
53,Secondary or below,Agricultural,Caste,Muslim,48,159.2,Secondary or below,Agricultural,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
32,Post-Graduate (MBA/MA),Services / household and domestic,Caste,Muslim,21,152.3,Higher Secondary,Professional / technical / managerial,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
50,Secondary or below,Agricultural,Caste,Muslim,45,143.1,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
45,Higher Secondary,Professional / technical / managerial,Caste,Muslim,42,146.3,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
41,Secondary or below,Services / household and domestic,Caste,Hindu,39,171.2,Secondary or below,Not working,Caste,Hindu,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
46,Secondary or below,Agricultural,Caste,Muslim,43,154.5,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
35,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Muslim,27,171.2,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
28,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Muslim,25,157.8,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
35,Secondary or below,Agricultural,Caste,Muslim,30,145.7,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
30,Secondary or below,Clerical,Caste,Hindu,27,146.6,Secondary or below,Not working,Caste,Hindu,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Higher Secondary,Professional / technical / managerial,Caste,Muslim,40,144.3,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
45,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Muslim,39,167.4,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Muslim,Urban,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
38,Secondary or below,Sales,Caste,Muslim,36,154.6,Secondary or below,Not working,Caste,Muslim,Urban,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
50,Higher Secondary,Professional / technical / managerial,Caste,Muslim,49,159.7,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Muslim,Urban,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
36,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Muslim,28,161.7,Higher Secondary,Not working,Caste,Muslim,Urban,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
53,Secondary or below,Agricultural,No caste / tribe,Hindu,48,151.6,Secondary or below,Not working,No caste / tribe,Hindu,Rural,Jammu & Kashmir,,,,,,,Respondent alone,Respondent alone,
40,Secondary or below,Agricultural,No caste / tribe,Hindu,35,162.3,Secondary or below,Not working,Caste,Hindu,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
15,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Hindu,26,151.3,Higher Secondary,Not working,Caste,Hindu,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
49,Secondary or below,Agricultural,Caste,Hindu,48,154.6,Secondary or below,Not working,Caste,Hindu,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
40,Secondary or below,Skilled and unskilled manual,Caste,Hindu,38,153.2,Secondary or below,Not working,Caste,Hindu,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
43,Higher Secondary,Agricultural,No caste / tribe,Hindu,33,150.3,Secondary or below,Not working,Caste,Hindu,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
26,Higher Secondary,Not working,No caste / tribe,Hindu,24,151.3,Secondary or below,Not working,No caste / tribe,Hindu,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
50,Secondary or below,Sales,Caste,Hindu,48,155.2,Secondary or below,Sales,Caste,Hindu,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
47,Secondary or below,Skilled and unskilled manual,Caste,Hindu,33,152.6,Secondary or below,Sales,Caste,Hindu,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
45,Secondary or below,Not working,Caste,Hindu,40,159.2,Secondary or below,Not working,Caste,Hindu,Urban,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
49,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,46,154.3,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
24,Secondary or below,Skilled and unskilled manual,Caste,Muslim,26,156.0,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
50,Secondary or below,Agricultural,Caste,Muslim,42,145.5,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
54,Secondary or below,Agricultural,Caste,Muslim,48,161.2,Secondary or below,Services / household and domestic,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
52,Secondary or below,Sales,Caste,Muslim,46,152.0,Secondary or below,Agricultural,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
28,Secondary or below,Services / household and domestic,Caste,Muslim,32,158.2,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
52,Secondary or below,Skilled and unskilled manual,Caste,Muslim,48,153.2,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Husband/partner alone,
28,Secondary or below,Sales,Caste,Muslim,27,158.3,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
28,Higher Secondary,Services / household and domestic,Caste,Muslim,24,162.2,Higher Secondary,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
33,Secondary or below,Agricultural,Caste,Muslim,28,167.2,Secondary or below,Agricultural,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
42,Higher Secondary,Other,Caste,Muslim,35,151.4,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
28,Secondary or below,Agricultural,Caste,Muslim,30,162.5,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Other,Other,
42,Secondary or below,Agricultural,Caste,Muslim,35,162.0,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
35,Post-Graduate (MBA/MA),Other,Caste,Muslim,30,160.8,Post-Graduate (MBA/MA),Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Secondary or below,Skilled and unskilled manual,Caste,Muslim,40,158.0,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Husband/partner alone,
54,Secondary or below,Services / household and domestic,Caste,Muslim,43,160.0,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
36,Secondary or below,Agricultural,Caste,Muslim,35,161.4,Secondary or below,Agricultural,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
39,Graduate (B.Tech/B.Sc/BA),Sales,Caste,Muslim,37,152.5,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
25,Secondary or below,Services / household and domestic,No caste / tribe,Muslim,24,152.7,Secondary or below,Services / household and domestic,No caste / tribe,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
40,Secondary or below,Professional / technical / managerial,No caste / tribe,Muslim,37,151.0,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
40,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,39,151.0,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
46,Higher Secondary,Skilled and unskilled manual,Caste,Muslim,46,149.6,Secondary or below,Agricultural,No caste / tribe,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
42,Secondary or below,Services / household and domestic,No caste / tribe,Muslim,40,158.4,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
32,Secondary or below,Agricultural,Caste,Muslim,29,151.4,Secondary or below,Not working,Caste,Muslim,Urban,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
39,Secondary or below,Sales,Caste,Muslim,34,149.3,Secondary or below,Not working,Caste,Muslim,Urban,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
42,Secondary or below,Other,Caste,Muslim,40,155.2,Secondary or below,Not working,Caste,Muslim,Urban,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
40,Secondary or below,Agricultural,Caste,Muslim,45,156.7,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
44,Secondary or below,Agricultural,Caste,Muslim,39,152.8,Secondary or below,Services / household and domestic,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
32,Secondary or below,Agricultural,Caste,Muslim,26,148.8,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
40,Secondary or below,Agricultural,Caste,Muslim,41,160.2,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Secondary or below,Other,Caste,Muslim,44,162.2,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
27,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Muslim,27,,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
29,Secondary or below,Not working,Caste,Muslim,27,155.2,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Other,
28,Secondary or below,Not working,Caste,Muslim,26,159.6,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
33,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,No caste / tribe,Muslim,30,159.4,Post-Graduate (MBA/MA),Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
51,Secondary or below,Other,Caste,Muslim,49,151.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
45,Graduate (B.Tech/B.Sc/BA),Other,Caste,Muslim,47,151.0,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
46,Secondary or below,Other,Caste,Muslim,42,152.8,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
35,Secondary or below,Skilled and unskilled manual,Caste,Muslim,27,158.2,Secondary or below,Agricultural,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
51,Higher Secondary,Professional / technical / managerial,Caste,Muslim,48,153.4,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
27,Higher Secondary,Other,Caste,Muslim,28,156.7,Post-Graduate (MBA/MA),Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
52,Secondary or below,Skilled and unskilled manual,Caste,Muslim,48,169.7,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
50,Secondary or below,Not working,Caste,Muslim,45,168.4,Secondary or below,Services / household and domestic,No caste / tribe,Muslim,Urban,Jammu & Kashmir,,,,,,,Husband/partner alone,Respondent and husband/partner,
36,Higher Secondary,Services / household and domestic,Caste,Muslim,35,149.4,Secondary or below,Not working,Caste,Muslim,Urban,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
50,Higher Secondary,Professional / technical / managerial,Caste,Muslim,45,162.4,Secondary or below,Professional / technical / managerial,Caste,Muslim,Urban,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
40,Secondary or below,Skilled and unskilled manual,Caste,Muslim,42,151.6,Secondary or below,Not working,Caste,Muslim,Urban,Jammu & Kashmir,,,,,,,Husband/partner alone,Respondent and husband/partner,
33,Higher Secondary,Sales,No caste / tribe,Muslim,31,,Graduate (B.Tech/B.Sc/BA),Not working,No caste / tribe,Muslim,Urban,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
50,Secondary or below,Services / household and domestic,Caste,Muslim,45,161.2,Secondary or below,Not working,No caste / tribe,Muslim,Urban,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
42,Secondary or below,Services / household and domestic,Caste,Muslim,38,159.4,Secondary or below,Not working,Caste,Muslim,Urban,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
30,Higher Secondary,Services / household and domestic,Caste,Muslim,27,154.7,Higher Secondary,Not working,Caste,Muslim,Urban,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
41,Higher Secondary,Professional / technical / managerial,Caste,Muslim,40,157.2,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
35,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Muslim,30,151.5,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
28,Secondary or below,Skilled and unskilled manual,Caste,Muslim,31,159.3,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
40,Secondary or below,Sales,Caste,Muslim,35,149.9,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
31,Higher Secondary,Sales,Caste,Muslim,29,157.9,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
